日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-12-03,68.30,62.39,71.10,61.87,179428,1231333968.00,40.75,175.45,39.74,70.95
2020-12-07,53.30,51.16,53.30,50.93,91637,490656048.00,4.36,-5.78,-3.14,36.23
2020-12-08,51.10,51.80,52.57,50.43,74721,398401728.00,4.18,1.25,0.64,29.55
2020-12-10,51.30,48.40,51.80,48.20,86851,447015712.00,6.76,-9.13,-4.86,34.34
2020-12-11,48.83,48.30,50.50,48.25,59039,301590160.00,4.65,-0.21,-0.10,23.35
2020-12-14,46.90,49.18,49.77,46.51,60316,299230640.00,6.75,1.82,0.88,23.85
2020-12-16,48.30,45.60,48.51,45.21,53331,257300891.00,6.83,-5.57,-2.69,21.09
2020-12-17,45.45,46.83,47.79,44.75,46123,221919459.00,6.67,2.70,1.23,18.24
2020-12-21,44.85,44.95,45.38,43.90,31961,148048586.00,3.30,0.22,0.10,12.64
2020-12-22,44.48,42.20,44.67,42.14,42283,190351990.00,5.63,-6.12,-2.75,16.72
2020-12-23,42.10,41.68,42.30,40.75,38515,166260553.00,3.67,-1.23,-0.52,15.23
2020-12-25,40.33,40.09,41.42,40.07,26696,113158256.00,3.35,-0.52,-0.21,10.56
2020-12-28,39.80,38.10,39.80,37.82,31388,126390712.00,4.94,-4.96,-1.99,12.41
2020-12-30,37.70,39.81,40.52,37.30,39992,161900858.00,8.61,6.39,2.39,15.81
2020-12-31,39.30,40.05,42.85,39.00,43618,185613023.00,9.67,0.60,0.24,17.25
2021-01-04,40.80,42.70,43.93,40.30,50122,220091889.00,9.06,6.62,2.65,19.82
2021-01-06,42.80,42.15,43.60,41.46,32315,142812892.00,5.09,0.24,0.10,12.78
2021-01-07,41.31,38.69,41.55,38.28,36776,152540035.00,7.76,-8.21,-3.46,14.54
2021-01-11,42.67,43.30,45.30,41.87,58654,266518802.00,8.00,1.05,0.45,23.19
2021-01-12,42.82,40.90,43.29,40.06,43706,188258694.00,7.46,-5.54,-2.40,17.28
2021-01-13,41.07,39.52,42.48,39.50,35835,153276332.00,7.29,-3.37,-1.38,14.17
2021-01-15,39.80,43.57,45.18,39.48,60652,271040384.00,14.26,8.98,3.59,23.98
2021-01-18,42.97,44.18,45.25,42.97,56194,258736184.00,5.23,1.40,0.61,22.22
2021-01-20,44.80,46.80,48.50,43.91,64547,307585104.00,10.07,2.68,1.22,25.52
2021-01-21,45.55,44.12,46.30,43.88,50100,234154538.00,5.17,-5.73,-2.68,19.81
2021-01-22,44.25,44.30,46.18,43.76,38285,178786414.00,5.49,0.41,0.18,15.14
2021-01-26,46.31,44.45,48.29,44.05,51319,246571061.00,9.05,-5.14,-2.41,20.29
2021-01-27,43.27,45.50,46.20,43.00,31051,144839316.00,7.20,2.36,1.05,12.28
2021-01-29,41.91,42.10,42.20,39.62,26780,114992604.00,6.28,2.43,1.00,10.59
2021-02-01,41.91,45.04,45.28,41.30,36960,168777649.00,9.45,6.98,2.94,14.61
2021-02-02,44.90,45.39,45.77,43.90,33117,154352401.00,4.15,0.78,0.35,13.10
2021-02-04,45.00,46.41,48.80,44.90,58217,284257952.00,8.58,2.11,0.96,23.02
2021-02-05,45.82,47.65,48.79,44.08,65249,316588944.00,10.15,2.67,1.24,25.80
2021-02-09,43.90,44.38,45.84,43.84,29695,137727139.00,4.54,0.70,0.31,11.74
2021-02-10,44.36,43.00,44.40,41.57,34942,155796062.00,6.38,-3.11,-1.38,13.82
2021-02-18,43.80,45.21,45.60,43.22,30734,142360157.00,5.53,5.14,2.21,12.15
2021-02-22,46.25,43.57,46.30,43.25,35919,167251165.00,6.66,-4.85,-2.22,14.20
2021-02-23,42.65,41.68,43.25,41.53,25471,111626966.00,3.95,-4.34,-1.89,10.07
2021-02-25,42.63,42.00,42.80,41.80,14894,65436333.00,2.34,-1.55,-0.66,5.89
2021-02-26,41.30,40.06,41.54,40.02,17810,75740281.00,3.62,-4.62,-1.94,7.04
2021-03-01,40.22,40.59,40.95,40.10,12048,50826697.00,2.12,1.32,0.53,4.76
2021-03-03,40.60,41.17,41.47,40.60,11038,47233262.00,2.12,0.54,0.22,4.36
