日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,106.76,105.98,109.45,103.82,186331,2113806080.00,5.48,3.13,3.22,6.97
2020-01-06,103.65,108.44,112.69,101.86,168537,1924652480.00,10.32,3.37,3.54,6.30
2020-01-08,106.65,103.06,107.35,101.75,128780,1428944272.00,5.16,-5.05,-5.48,4.81
2020-01-10,108.14,105.46,108.63,104.42,83227,935204096.00,3.99,0.04,0.04,3.11
2020-01-14,107.55,104.50,108.15,104.06,93761,1051824464.00,3.82,-2.40,-2.57,3.50
2020-01-16,103.64,102.61,104.15,102.25,54664,597148080.00,1.84,-0.83,-0.86,2.03
2020-01-20,104.38,106.07,106.65,102.63,82452,919939840.00,3.85,1.66,1.73,3.07
2020-01-22,101.81,105.34,106.09,99.69,111384,1216178416.00,6.21,2.28,2.35,4.14
2020-02-03,91.80,91.80,91.80,91.80,20768,203837920.00,0.00,-10.61,-10.90,0.77
2020-02-04,84.65,91.38,93.31,84.65,173842,1678256336.00,9.43,-0.46,-0.42,6.47
2020-02-06,92.65,97.37,98.75,91.96,156864,1598861200.00,7.28,4.42,4.12,5.83
2020-02-10,97.13,98.43,100.36,96.90,100701,1057247808.00,3.52,0.09,0.09,3.75
2020-02-12,97.20,103.24,105.45,96.66,175398,1889749520.00,9.00,5.72,5.59,6.52
2020-02-14,102.86,112.55,114.65,102.65,257401,3038076944.00,11.58,8.59,8.90,9.57
2020-02-18,118.65,116.80,121.15,115.31,151498,1874963856.00,4.82,-3.62,-4.39,5.63
2020-02-20,115.23,127.26,127.26,114.11,173386,2218478896.00,11.42,10.56,12.15,6.45
2020-02-24,137.65,140.97,143.45,136.59,220327,3232074160.00,4.88,0.25,0.35,8.19
2020-02-25,134.65,139.65,140.65,127.55,249174,3530610816.00,9.29,-0.94,-1.32,9.27
2020-02-27,126.93,127.87,133.64,124.71,221236,2992252848.00,7.14,2.26,2.82,8.23
2020-03-02,121.65,124.65,126.55,118.73,174698,2260585792.00,6.68,6.41,7.51,6.50
2020-03-04,123.47,127.15,128.63,120.67,174647,2295951328.00,6.43,2.69,3.33,6.50
2020-03-06,124.65,122.87,126.61,121.85,147912,1919704368.00,3.68,-4.91,-6.34,5.50
2020-03-10,115.65,119.89,121.11,112.15,172480,2130729792.00,7.84,4.94,5.64,6.41
2020-03-12,113.50,113.38,116.63,111.65,110566,1324271008.00,4.30,-2.08,-2.41,4.11
2020-03-16,111.82,103.49,111.85,101.75,145045,1644451424.00,9.04,-7.41,-8.28,5.39
2020-03-18,107.43,102.65,109.06,102.53,125356,1411803040.00,6.16,-3.11,-3.30,4.66
2020-03-19,103.73,106.88,108.06,98.66,163892,1816843088.00,9.16,4.12,4.23,6.10
2020-03-23,101.65,101.66,104.58,100.83,85697,932356272.00,3.52,-4.68,-4.99,3.19
2020-03-25,111.53,107.81,111.78,107.16,161033,1862731040.00,4.29,0.20,0.21,5.99
2020-03-27,106.66,105.29,107.55,103.70,93342,1047094576.00,3.68,0.61,0.64,3.47
2020-03-31,103.74,102.25,104.47,101.86,59962,657356960.00,2.54,-0.37,-0.38,2.23
2020-04-02,102.01,107.52,107.55,101.50,92513,1021250656.00,5.90,4.94,5.06,3.44
2020-04-07,108.45,108.09,109.27,107.01,113094,1285842592.00,2.16,3.48,3.63,4.21
