日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,5.72,5.72,5.78,5.67,46896,26851130.00,1.93,0.53,0.03,1.79
2020-01-06,5.65,5.72,5.78,5.60,57739,32949908.00,3.16,0.35,0.02,2.20
2020-01-08,5.81,5.67,5.85,5.63,73685,42394334.00,3.77,-2.74,-0.16,2.81
2020-01-10,5.79,5.81,5.86,5.70,70092,40534708.00,2.76,0.35,0.02,2.67
2020-01-14,5.76,5.75,5.85,5.75,66056,38320878.00,1.72,-0.86,-0.05,2.52
2020-01-16,5.69,5.66,5.75,5.61,52333,29712851.00,2.47,0.00,0.00,1.99
2020-01-20,5.55,5.80,5.84,5.42,112624,64364087.00,7.62,5.26,0.29,4.29
2020-01-22,5.73,5.69,5.79,5.55,70462,40052772.00,4.17,-1.04,-0.06,2.68
2020-01-23,5.72,5.43,5.76,5.35,75823,41867909.00,7.21,-4.57,-0.26,2.89
2020-02-04,4.40,4.63,4.78,4.40,114151,52801489.00,7.77,-5.32,-0.26,4.35
2020-02-06,4.79,4.90,4.96,4.76,77551,37999015.00,4.17,2.08,0.10,2.95
2020-02-10,4.87,4.94,5.00,4.85,60515,29921041.00,3.07,1.23,0.06,2.30
2020-02-12,4.86,4.94,4.97,4.85,58748,28866699.00,2.45,1.02,0.05,2.24
2020-02-14,4.81,4.81,4.88,4.76,44425,21433754.00,2.47,-0.82,-0.04,1.69
2020-02-18,5.04,5.16,5.18,4.98,72824,37093271.00,3.97,2.38,0.12,2.77
2020-02-20,6.25,6.25,6.25,6.25,30102,18813706.00,0.00,10.04,0.57,1.15
2020-02-21,6.88,6.88,6.88,6.28,643480,432277632.00,9.60,10.08,0.63,24.50
2020-02-25,7.20,8.16,8.33,7.05,854204,669656384.00,16.91,7.79,0.59,32.53
2020-02-27,6.90,6.61,7.08,6.61,387753,261437050.00,6.40,-9.95,-0.73,14.77
2020-03-02,5.97,6.08,6.22,5.94,284128,172600442.00,4.67,1.50,0.09,10.82
2020-03-04,6.17,6.17,6.28,6.05,160048,98362072.00,3.72,-0.32,-0.02,6.09
2020-03-06,6.20,6.31,6.45,6.17,234375,147943474.00,4.40,-0.79,-0.05,8.93
2020-03-10,6.04,6.18,6.20,5.72,146008,87624234.00,7.95,2.32,0.14,5.56
2020-03-11,6.20,6.08,6.25,6.06,104800,64305411.00,3.07,-1.62,-0.10,3.99
2020-03-13,5.75,5.99,6.13,5.60,110254,64806859.00,8.73,-1.32,-0.08,4.20
2020-03-17,5.72,5.82,5.82,5.48,90333,50863320.00,5.94,1.75,0.10,3.44
2020-03-19,6.01,6.20,6.24,5.99,132926,81680901.00,4.10,1.64,0.10,5.06
2020-03-23,6.12,5.97,6.22,5.96,92370,56343827.00,4.19,-3.71,-0.23,3.52
2020-03-25,6.08,6.41,6.48,5.96,139586,87088437.00,8.72,7.55,0.45,5.32
2020-03-27,6.60,6.76,6.85,6.35,307494,204307172.00,7.68,3.84,0.25,11.71
2020-03-31,6.74,6.46,6.74,6.41,134882,88197670.00,4.94,-3.29,-0.22,5.14
2020-04-01,6.50,6.33,6.57,6.29,109663,70354215.00,4.33,-2.01,-0.13,4.18
2020-04-03,7.10,7.14,7.39,6.80,508587,359549616.00,8.48,2.59,0.18,19.37
2020-04-08,7.00,6.88,7.18,6.88,253591,177797351.00,4.17,-4.44,-0.32,9.66
2020-04-10,6.79,6.54,6.82,6.45,135076,89304435.00,5.33,-5.76,-0.40,5.14
2020-04-14,6.14,6.20,6.23,6.10,86482,53417957.00,2.13,1.64,0.10,3.29
2020-04-16,6.04,6.12,6.15,5.92,78430,47587331.00,3.76,0.16,0.01,2.99
2020-04-20,6.34,6.37,6.46,6.28,100655,63880972.00,2.79,-1.24,-0.08,3.83
2020-04-22,6.16,6.44,6.48,6.15,77898,49482749.00,5.28,3.04,0.19,2.97
2020-04-23,6.44,6.34,6.53,6.31,57344,36622893.00,3.42,-1.55,-0.10,2.18
2020-04-27,6.19,6.28,6.42,6.07,56042,35094130.00,5.65,1.45,0.09,2.13
2020-04-29,6.10,5.96,6.18,5.92,55131,33381500.00,4.26,-2.30,-0.14,2.10
2020-05-06,6.03,6.16,6.21,6.03,39786,24421487.00,2.96,1.32,0.08,1.52
2020-05-08,6.12,6.54,6.71,6.11,125860,81065628.00,9.82,7.04,0.43,4.79
2020-05-12,6.36,6.46,6.48,6.29,44983,28724922.00,2.97,1.10,0.07,1.71
2020-05-14,6.39,6.32,6.40,6.29,22484,14247647.00,1.72,-1.40,-0.09,0.86
2020-05-15,6.38,6.38,6.56,6.31,55100,35539028.00,3.96,0.95,0.06,2.10
2020-05-19,6.58,6.46,6.58,6.42,32032,20712061.00,2.46,-0.62,-0.04,1.22
2020-05-21,6.33,6.13,6.35,6.12,41964,25945277.00,3.65,-2.85,-0.18,1.60
2020-05-25,6.23,6.59,6.75,6.11,110017,72205044.00,10.34,6.46,0.40,4.19
2020-05-27,6.77,6.65,6.79,6.55,82396,54953084.00,3.53,-2.21,-0.15,3.14
2020-05-29,6.50,6.51,6.58,6.42,53666,34868808.00,2.45,-0.31,-0.02,2.04
