日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,73.75,75.56,76.44,73.75,5700,43557361.00,3.66,2.84,2.09,0.82
2020-01-06,74.10,75.37,76.45,73.19,6192,47233104.00,4.31,-0.34,-0.26,0.90
2020-01-08,75.83,74.08,75.83,73.93,3290,24839568.00,2.51,-2.02,-1.53,0.48
2020-01-10,74.96,74.95,75.86,73.98,3698,28071671.00,2.50,-0.24,-0.18,0.54
2020-01-14,75.23,73.61,75.43,73.31,4729,35492048.00,2.82,-1.92,-1.44,0.68
2020-01-16,73.85,74.45,74.75,72.95,3787,28487508.00,2.44,1.11,0.82,0.55
2020-01-20,74.23,74.08,75.15,73.15,4225,31613878.00,2.71,0.38,0.28,0.61
2020-01-22,74.13,74.15,74.75,72.45,4633,34585656.00,3.10,0.03,0.02,0.67
2020-02-03,64.70,64.70,65.35,64.70,7668,50450145.00,0.90,-10.14,-7.30,1.11
2020-02-04,61.97,65.99,66.32,61.97,6444,42496933.00,6.72,1.99,1.29,0.93
2020-02-06,67.11,67.60,68.31,65.55,5913,40223832.00,4.09,0.21,0.14,0.86
2020-02-10,67.05,68.46,68.92,64.95,6077,41301944.00,5.92,2.10,1.41,0.88
2020-02-12,68.15,67.77,68.83,66.97,5469,37648345.00,2.72,-0.72,-0.49,0.79
2020-02-14,66.49,65.74,66.51,65.32,3380,22607330.00,1.80,-0.56,-0.37,0.49
2020-02-18,72.43,71.04,72.43,70.15,6737,48526373.00,3.15,-1.91,-1.38,0.97
2020-02-20,70.29,70.53,70.95,68.45,6353,44850503.00,3.56,0.48,0.34,0.92
2020-02-24,70.49,71.54,71.66,68.09,10848,77060545.00,5.06,1.42,1.00,1.57
2020-02-25,70.32,69.25,70.69,68.03,8377,58878410.00,3.72,-3.20,-2.29,1.21
2020-02-27,70.76,72.11,73.50,69.98,11728,85909364.00,4.99,2.14,1.51,1.70
2020-03-02,70.12,71.70,72.43,68.47,17109,123745469.00,5.64,2.11,1.48,2.48
2020-03-04,70.13,71.13,71.54,68.74,7981,56688480.00,3.96,0.69,0.49,1.15
2020-03-06,70.83,68.92,70.83,68.91,6869,48530517.00,2.71,-2.86,-2.03,0.99
2020-03-10,68.02,67.55,68.94,66.62,10845,74248994.00,3.37,-2.02,-1.39,0.84
2020-03-12,66.15,66.00,67.45,63.48,10361,68627970.00,5.82,-3.18,-2.17,0.80
2020-03-16,66.34,62.69,66.34,60.95,7488,48060339.00,8.29,-3.61,-2.35,0.58
2020-03-18,62.15,61.95,63.79,61.16,5390,34329551.00,4.25,0.19,0.12,0.42
