日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-04-20,88.91,79.54,102.01,79.51,87558,1245238528.00,30.50,7.84,5.78,43.78
2021-04-22,71.47,71.75,74.29,71.45,27019,321870320.00,3.98,0.49,0.35,13.51
2021-04-23,71.73,68.06,71.73,67.06,33673,378105248.00,6.51,-5.14,-3.69,16.84
2021-04-26,67.45,63.32,67.51,63.06,32749,350200848.00,6.54,-6.96,-4.74,16.37
2021-04-27,63.01,63.38,65.74,62.01,21365,225557870.00,5.89,0.09,0.06,10.68
2021-04-28,62.92,64.13,64.35,62.42,14741,154090854.00,3.05,1.18,0.75,7.37
2021-04-30,62.09,60.13,62.63,60.11,18474,185046641.00,4.02,-3.99,-2.50,9.24
2021-05-06,60.07,60.04,60.74,59.79,8030,79475061.00,1.58,-0.15,-0.09,4.01
2021-05-07,60.12,58.11,60.39,58.10,15718,152662508.00,3.81,-3.21,-1.93,7.86
2021-05-10,57.91,56.01,58.16,55.79,14155,131907427.00,4.08,-3.61,-2.10,7.08
2021-05-11,55.94,56.94,57.31,55.38,11079,103682286.00,3.45,1.66,0.93,5.54
2021-05-13,56.11,56.78,57.26,56.01,7577,71034718.00,2.21,0.34,0.19,3.79
2021-05-14,56.93,56.79,57.18,56.38,8142,76203775.00,1.41,0.02,0.01,4.07
2021-05-17,56.74,56.91,57.18,56.63,7343,68937420.00,0.97,0.21,0.12,3.67
2021-05-18,56.91,59.93,60.44,56.58,17956,174399284.00,6.78,5.31,3.02,8.98
2021-05-19,59.73,58.40,59.74,58.28,11079,107476187.00,2.44,-2.55,-1.53,5.54
2021-05-21,58.35,56.94,58.63,56.94,8665,82041554.00,2.90,-2.33,-1.36,4.33
2021-05-24,56.40,56.78,57.28,56.40,4954,46472784.00,1.55,-0.28,-0.16,2.48
2021-05-25,56.78,56.99,57.42,56.64,6228,58511016.00,1.37,0.37,0.21,3.11
2021-05-26,57.18,57.57,57.93,56.83,7606,71942715.00,1.93,1.02,0.58,3.80
2021-05-27,57.63,57.59,57.92,57.33,6707,63732663.00,1.02,0.03,0.02,3.35
2021-05-31,57.41,57.03,57.59,56.82,6465,60768038.00,1.34,-0.66,-0.38,3.23
2021-06-01,56.96,57.07,57.28,56.88,5630,52938887.00,0.70,0.07,0.04,2.81
2021-06-02,57.08,56.91,57.31,56.70,6562,61662274.00,1.07,-0.28,-0.16,3.28
2021-06-03,56.91,57.86,58.36,56.70,11807,112144787.00,2.92,1.67,0.95,5.90
2021-06-04,57.63,56.92,57.74,56.91,8351,78742972.00,1.43,-1.62,-0.94,4.18
2021-06-08,56.53,56.32,56.76,56.26,5397,50238061.00,0.88,-0.35,-0.20,2.70
2021-06-09,56.33,56.42,56.73,56.12,5828,54147689.00,1.08,0.18,0.10,2.91
2021-06-10,56.28,56.20,56.51,56.07,5153,47783336.00,0.78,-0.39,-0.22,2.58
2021-06-11,56.13,55.81,56.38,55.79,5476,50602620.00,1.05,-0.69,-0.39,2.74
2021-06-15,55.81,54.73,55.98,54.69,7697,70017560.00,2.31,-1.94,-1.08,3.85
2021-06-17,54.51,54.32,54.58,54.22,3607,32395553.00,0.66,-0.09,-0.05,1.80
2021-06-18,54.24,55.97,56.99,54.24,12234,112999482.00,5.06,3.04,1.65,6.12
2021-06-21,55.97,56.98,57.60,55.88,10724,100911225.00,3.07,1.80,1.01,5.36
2021-06-22,57.09,56.38,57.29,56.14,7241,67374134.00,2.02,-1.05,-0.60,3.62
2021-06-23,56.35,56.61,57.60,56.31,7511,70553318.00,2.29,0.41,0.23,3.76
