日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-08-13,68.81,58.56,72.57,58.06,55879,565216048.00,28.94,16.79,8.42,55.33
2021-08-17,50.56,49.28,50.57,48.75,19556,155081339.00,3.59,-2.78,-1.41,19.36
2021-08-18,49.12,49.61,49.68,48.25,16478,128735542.00,2.90,0.67,0.33,16.31
2021-08-19,48.94,48.45,50.31,48.43,13553,106858832.00,3.79,-2.34,-1.16,13.42
2021-08-20,48.22,45.56,48.22,45.55,15252,113066712.00,5.51,-5.96,-2.89,15.10
2021-08-23,45.38,45.94,46.53,45.17,8958,65784865.00,2.99,0.83,0.38,8.87
2021-08-24,45.88,45.51,45.88,45.38,8141,59347106.00,1.09,-0.94,-0.43,8.06
2021-08-25,45.53,45.69,45.94,45.28,6185,45097751.00,1.45,0.40,0.18,6.12
2021-08-26,45.50,44.66,45.58,44.66,8738,62934604.00,2.01,-2.25,-1.03,8.65
2021-08-27,44.44,43.47,44.76,43.24,8843,61966649.00,3.40,-2.66,-1.19,8.76
2021-08-30,43.50,42.41,43.59,42.39,6643,45571822.00,2.76,-2.44,-1.06,6.58
2021-08-31,42.28,42.08,42.98,41.91,5871,39768885.00,2.52,-0.78,-0.33,5.81
2021-09-01,42.06,42.43,42.65,41.97,5146,34855566.00,1.62,0.83,0.35,5.10
2021-09-02,42.58,43.53,43.61,42.26,7800,53678361.00,3.18,2.59,1.10,7.72
2021-09-03,43.30,42.91,43.30,42.81,6283,43217265.00,1.13,-1.42,-0.62,6.22
2021-09-06,42.91,43.11,43.22,42.86,3647,25106937.00,0.84,0.47,0.20,3.61
2021-09-07,43.01,43.55,43.90,43.01,5724,39940183.00,2.06,1.02,0.44,5.67
2021-09-08,43.13,43.19,43.53,43.07,4694,32439880.00,1.06,-0.83,-0.36,4.65
2021-09-09,43.38,43.04,43.39,42.98,3938,27178331.00,0.95,-0.35,-0.15,3.90
2021-09-10,42.99,42.86,43.17,42.78,3209,22053627.00,0.91,-0.42,-0.18,3.18
2021-09-13,42.98,42.52,42.98,42.51,2996,20438699.00,1.10,-0.79,-0.34,2.97
2021-09-14,42.52,42.20,43.02,42.19,3702,25145080.00,1.95,-0.75,-0.32,3.67
2021-09-15,42.01,42.13,42.50,42.01,2181,14726770.00,1.16,-0.17,-0.07,2.16
2021-09-16,42.13,41.33,42.33,41.28,4195,28099845.00,2.49,-1.90,-0.80,4.15
2021-09-17,41.43,40.76,41.52,40.58,3796,24859861.00,2.27,-1.38,-0.57,3.76
2021-09-22,40.21,39.78,40.21,39.71,3532,22551820.00,1.23,-2.40,-0.98,3.50
2021-09-23,39.96,40.01,40.46,39.83,2416,15498578.00,1.58,0.58,0.23,2.39
2021-09-24,40.15,39.37,40.15,39.34,2983,18932121.00,2.02,-1.60,-0.64,2.95
2021-09-27,39.37,38.04,39.38,38.04,3835,23603618.00,3.40,-3.38,-1.33,3.80
2021-09-28,38.04,38.02,38.39,37.86,1756,10723938.00,1.39,-0.05,-0.02,1.74
2021-09-29,38.18,37.76,38.54,37.76,2882,17568335.00,2.05,-0.68,-0.26,2.85
2021-09-30,38.03,37.95,38.04,37.78,1558,9458765.00,0.69,0.50,0.19,1.54
2021-10-08,38.31,38.24,38.31,38.02,1975,12060366.00,0.76,0.76,0.29,1.96
2021-10-11,38.19,38.38,38.38,38.14,1950,11946814.00,0.63,0.37,0.14,1.93
2021-10-12,38.36,37.81,38.36,37.66,2107,12788381.00,1.82,-1.49,-0.57,2.09
2021-10-13,37.88,38.33,38.37,37.75,2113,12925629.00,1.64,1.38,0.52,2.09
2021-10-14,38.59,38.13,38.59,38.08,1575,9630137.00,1.33,-0.52,-0.20,1.56
2021-10-15,38.26,38.13,38.39,38.05,1362,8312191.00,0.89,0.00,0.00,1.35
2021-10-18,38.13,38.02,38.22,37.88,1319,8015426.00,0.89,-0.29,-0.11,1.31
2021-10-20,37.94,38.10,38.34,37.93,1553,9464467.00,1.08,0.26,0.10,1.54
2021-10-21,38.13,39.08,39.37,37.82,5025,31008551.00,4.07,2.57,0.98,4.98
2021-10-22,39.09,39.41,39.75,38.81,4865,30642721.00,2.41,0.84,0.33,4.82
2021-10-25,38.96,39.02,39.56,38.76,2858,17864941.00,2.03,-0.99,-0.39,2.83
2021-10-26,39.27,40.89,41.04,38.86,8870,56845123.00,5.59,4.79,1.87,8.78
2021-10-27,40.94,43.52,45.28,40.32,20244,139554860.00,12.13,6.43,2.63,20.04
2021-10-28,41.56,38.89,41.56,38.76,12822,81977030.00,6.43,-10.64,-4.63,12.70
2021-10-29,38.89,37.82,39.02,36.96,7951,47919316.00,5.30,-2.75,-1.07,7.87
2021-11-01,37.14,37.41,37.79,37.08,4941,29524254.00,1.88,-1.08,-0.41,4.89
2021-11-02,37.43,36.24,37.58,36.18,5141,30337496.00,3.74,-3.13,-1.17,5.09
2021-11-03,36.28,36.14,36.53,35.69,3707,21370228.00,2.32,-0.28,-0.10,3.67
2021-11-04,36.24,36.41,36.66,36.24,2586,15071639.00,1.16,0.75,0.27,2.56
2021-11-05,36.35,36.95,37.40,36.08,4739,27930769.00,3.63,1.48,0.54,4.69
2021-11-08,36.75,36.91,37.11,36.75,2553,15072680.00,0.97,-0.11,-0.04,2.53
2021-11-09,37.11,37.54,37.76,36.81,3386,20239475.00,2.57,1.71,0.63,3.35
2021-11-10,37.54,37.60,37.63,37.00,2884,17223212.00,1.68,0.16,0.06,2.86
2021-11-11,37.58,38.69,38.91,37.55,6084,37431616.00,3.62,2.90,1.09,6.02
2021-11-12,38.54,38.69,39.06,38.26,4315,26683162.00,2.07,0.00,0.00,4.27
2021-11-15,39.48,40.11,40.24,38.66,7452,47127357.00,4.08,3.67,1.42,7.38
2021-11-16,40.28,41.68,45.11,39.38,18742,127272227.00,14.29,3.91,1.57,18.56
2021-11-17,41.06,42.10,42.50,40.31,14288,93918456.00,5.25,1.01,0.42,14.15
2021-11-18,41.63,39.38,41.69,39.38,10649,68537199.00,5.49,-6.46,-2.72,10.54
2021-11-19,39.54,40.08,40.36,39.54,4495,28750480.00,2.08,1.78,0.70,4.45
2021-11-22,40.72,40.07,40.74,39.88,3478,22324579.00,2.15,-0.02,-0.01,3.44
2021-11-23,40.06,39.81,40.23,39.63,3528,22520720.00,1.50,-0.65,-0.26,3.49
2021-11-24,39.81,40.44,40.56,39.74,4363,28075791.00,2.06,1.58,0.63,4.32
2021-11-25,40.38,40.46,40.83,40.36,3886,25206560.00,1.16,0.05,0.02,3.85
