日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,38.85,39.24,41.03,38.65,171066,681249824.00,6.31,4.00,1.51,30.06
2020-01-06,40.85,42.74,43.05,40.04,184349,769328416.00,7.21,2.35,0.98,32.40
2020-01-08,45.73,44.75,46.59,44.05,193332,877533264.00,5.40,-4.85,-2.28,33.98
2020-01-10,45.53,43.36,45.53,42.81,130480,572053520.00,5.97,-4.83,-2.20,22.93
2020-01-14,44.55,43.37,44.62,43.35,82188,361259328.00,2.86,-2.43,-1.08,14.44
2020-01-16,43.85,43.75,44.22,43.15,62182,272844864.00,2.44,-0.23,-0.10,10.93
2020-01-20,41.88,42.20,42.32,41.06,64617,271620928.00,2.95,-1.06,-0.45,11.36
2020-01-22,42.28,44.07,44.08,41.65,85094,368134048.00,5.74,4.09,1.73,14.95
2020-02-03,38.85,38.85,38.85,38.85,4694,18306600.00,0.00,-10.03,-4.33,0.82
2020-02-04,34.95,36.65,37.35,34.95,115153,418078864.00,6.18,-5.66,-2.20,20.24
2020-02-06,36.87,37.83,38.41,36.35,102897,386668272.00,5.55,1.83,0.68,18.08
2020-02-10,38.95,40.95,41.35,38.05,104450,421156064.00,8.56,6.23,2.40,18.36
2020-02-12,39.45,40.18,40.73,38.88,62682,251184700.00,4.66,1.13,0.45,11.02
2020-02-14,39.05,41.37,42.75,39.05,140832,587179424.00,9.52,6.49,2.52,24.75
2020-02-18,45.52,47.23,49.60,44.85,177227,835703456.00,10.43,3.76,1.71,31.15
2020-02-20,51.98,57.18,57.18,49.35,218759,1187183152.00,15.07,10.03,5.21,38.45
2020-02-24,61.85,69.22,69.22,59.77,133098,891892608.00,15.02,10.03,6.31,23.39
2020-02-25,67.19,69.14,74.59,62.28,252825,1726506240.00,17.78,-0.12,-0.08,44.43
2020-02-27,61.88,59.56,64.25,58.05,128655,794026240.00,9.97,-4.26,-2.65,22.61
2020-03-02,54.95,56.90,58.85,52.20,145697,811368480.00,12.41,6.18,3.31,25.61
2020-03-04,58.24,64.12,64.12,56.91,148115,900242352.00,12.35,9.85,5.75,26.03
2020-03-06,63.90,59.75,64.18,59.67,142360,879288944.00,6.80,-9.91,-6.57,25.02
2020-03-10,54.81,60.04,60.04,54.81,118822,686649392.00,9.58,10.02,5.47,20.88
2020-03-12,57.85,62.65,63.70,57.26,116247,702112576.00,11.05,7.52,4.38,20.43
2020-03-16,64.75,58.44,64.77,58.17,119397,733146384.00,10.21,-9.61,-6.21,20.98
2020-03-18,61.10,55.75,61.72,55.55,108822,640673216.00,10.24,-7.48,-4.51,19.13
2020-03-19,55.34,57.03,58.19,54.68,93539,529300960.00,6.30,2.30,1.28,16.44
2020-03-23,52.27,49.67,53.46,49.67,74150,381088176.00,6.87,-10.02,-5.53,13.03
2020-03-25,52.10,51.55,52.99,51.06,59572,311153600.00,3.80,1.38,0.70,10.47
2020-03-27,51.46,51.32,53.00,49.89,66042,340905424.00,6.15,1.50,0.76,11.61
2020-03-31,49.79,48.93,50.00,48.45,39764,196781750.00,3.18,0.33,0.16,6.99
2020-04-02,49.08,51.35,51.35,47.86,59960,301146256.00,7.10,4.48,2.20,10.54
2020-04-07,50.87,51.23,51.49,50.05,60418,309222752.00,2.94,4.53,2.22,10.62
2020-04-09,51.95,53.81,55.79,51.50,94757,512781584.00,8.46,6.11,3.10,16.65
2020-04-10,54.66,53.85,56.85,53.65,104982,578624160.00,5.95,0.07,0.04,18.45
2020-04-14,57.63,58.06,59.73,57.21,90794,532492912.00,4.41,1.50,0.86,15.96
2020-04-16,54.44,55.94,57.02,53.79,60373,336227280.00,5.81,0.61,0.34,10.61
2020-04-20,54.13,54.80,55.91,54.03,37723,207975605.00,3.44,0.27,0.15,6.63
2020-04-22,52.95,54.05,54.07,52.76,31401,168606106.00,2.45,1.08,0.58,5.52
2020-04-24,51.85,50.07,52.64,49.65,42485,216855204.00,5.74,-3.84,-2.00,7.47
2020-04-28,48.75,49.84,50.81,47.75,50450,250796743.00,6.33,3.17,1.53,8.87
2020-04-30,51.85,53.00,53.83,50.82,63323,332771552.00,5.92,4.29,2.18,11.13
2020-05-06,51.55,53.25,53.51,51.25,55614,291725024.00,4.26,0.47,0.25,9.77
2020-05-08,54.16,55.05,56.84,53.42,76242,420578672.00,6.40,2.97,1.59,13.40
2020-05-12,52.87,53.25,53.74,51.73,37143,197017683.00,3.79,0.47,0.25,6.53
2020-05-14,53.15,52.95,53.60,52.85,32906,175394242.00,1.39,-2.09,-1.13,5.78
2020-05-18,52.00,50.96,52.70,50.35,42046,216735620.00,4.46,-3.38,-1.78,7.39
2020-05-20,51.04,52.20,52.99,50.36,46927,242903427.00,5.12,1.68,0.86,8.25
2020-05-22,48.96,47.98,50.35,47.88,33051,162421106.00,4.95,-3.89,-1.94,5.81
2020-05-26,48.00,49.30,49.35,47.98,25684,125718520.00,2.87,3.20,1.53,4.51
2020-05-28,49.00,51.18,52.15,48.93,50546,257696567.00,6.51,3.44,1.70,8.88
2020-05-29,50.20,50.05,51.03,49.87,31271,157845214.00,2.27,-2.21,-1.13,5.50
2020-06-02,55.07,54.05,56.25,53.85,85730,471714544.00,4.36,-1.85,-1.02,15.07
2020-06-04,52.73,51.91,53.74,51.59,46623,245167169.00,4.06,-1.93,-1.02,8.19
2020-06-08,53.85,52.58,54.30,52.25,41667,222620828.00,3.79,-2.81,-1.52,7.32
2020-06-10,53.34,53.82,54.38,52.65,35553,191206184.00,3.20,-0.41,-0.22,6.25
2020-06-12,53.21,55.03,56.45,53.21,71361,394562032.00,5.89,-0.02,-0.01,12.54
2020-06-16,55.98,55.20,56.67,54.13,54003,298867216.00,4.63,0.55,0.30,9.49
2020-06-18,52.96,53.90,54.64,52.96,39275,211409137.00,3.14,0.62,0.33,6.90
2020-06-19,53.95,56.70,57.95,53.51,91121,508822336.00,8.24,5.19,2.80,16.01
2020-06-23,57.76,57.92,58.75,56.61,61141,354387632.00,3.72,0.66,0.38,10.75
2020-06-29,54.47,53.95,55.95,53.61,43713,238784836.00,4.19,-3.44,-1.92,7.68
2020-07-01,56.25,57.04,57.04,54.49,66269,370047184.00,4.52,1.17,0.66,11.65
2020-07-03,61.39,64.90,66.10,60.96,139977,888994288.00,8.39,5.89,3.61,24.60
2020-07-07,69.15,67.58,70.65,65.25,137176,936235888.00,7.64,-4.35,-3.07,24.11
2020-07-09,69.95,70.08,72.45,68.57,107568,757294416.00,5.43,-1.94,-1.39,18.90
2020-07-13,66.76,67.08,68.89,66.13,86666,586700816.00,4.14,0.68,0.45,15.23
2020-07-14,66.45,67.35,68.11,65.96,74091,497125328.00,3.21,0.40,0.27,13.02
2020-07-16,62.95,58.40,65.12,56.97,65645,407117056.00,12.94,-7.26,-4.57,11.54
2020-07-20,58.75,58.31,59.58,56.75,55445,323030000.00,4.91,1.27,0.73,9.74
2020-07-22,57.43,57.91,59.29,56.98,56166,327757760.00,4.02,0.82,0.47,9.87
2020-07-24,56.08,51.75,56.90,51.47,62323,334282736.00,9.68,-7.75,-4.35,10.95
