日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,11.89,11.97,12.04,11.81,100998,159744771.00,1.96,2.13,0.25,7.51
2020-01-06,12.07,12.18,12.52,12.07,126111,204556187.00,3.63,-1.85,-0.23,9.38
2020-01-08,12.35,11.84,12.42,11.80,112533,180592533.00,4.96,-5.28,-0.66,8.37
2020-01-10,12.70,12.50,12.70,12.26,134572,222091169.00,3.47,-1.50,-0.19,10.01
2020-01-14,12.74,12.28,12.75,12.22,91444,150142710.00,4.20,-2.77,-0.35,6.80
2020-01-16,12.43,12.13,12.44,12.11,57025,92186010.00,2.65,-2.41,-0.30,4.24
2020-01-20,12.24,12.57,12.64,12.02,95086,156510996.00,5.14,4.14,0.50,7.07
2020-01-21,12.64,12.14,12.64,12.14,82180,134944278.00,3.98,-3.42,-0.43,6.11
2020-01-23,12.47,11.38,12.47,11.29,127000,198946505.00,9.44,-8.96,-1.12,9.45
2020-02-04,9.17,9.67,9.93,9.17,116790,149182226.00,7.44,-5.38,-0.55,8.69
2020-02-06,10.08,10.19,10.29,9.97,76147,102400383.00,3.21,2.21,0.22,5.66
2020-02-10,10.38,10.60,10.80,10.37,64662,90966022.00,4.10,1.05,0.11,4.81
2020-02-12,10.47,10.66,10.70,10.33,67305,93991473.00,3.56,2.50,0.26,5.01
2020-02-14,10.39,10.60,10.81,10.39,60048,84660506.00,3.99,0.76,0.08,4.47
2020-02-17,10.66,11.08,11.08,10.63,91420,132913453.00,4.25,4.53,0.48,6.80
2020-02-19,11.24,11.31,11.70,11.24,99832,151449105.00,4.06,-0.26,-0.03,7.42
2020-02-21,11.79,12.00,12.35,11.74,161650,258173667.00,5.14,1.10,0.13,12.02
2020-02-25,11.82,12.17,12.33,11.47,148266,236204864.00,7.00,-0.98,-0.12,11.03
2020-02-27,11.87,11.91,12.12,11.50,89195,140332069.00,5.30,1.88,0.22,6.63
2020-03-02,10.94,11.72,11.88,10.94,86551,131799841.00,8.69,8.32,0.90,6.44
2020-03-04,11.93,12.04,12.20,11.70,88227,139935738.00,4.18,0.58,0.07,6.56
2020-03-05,12.28,12.05,12.37,11.87,79384,126748695.00,4.15,0.08,0.01,5.90
2020-03-09,11.80,11.14,11.85,11.08,82300,124505320.00,6.48,-6.23,-0.74,6.12
2020-03-11,11.66,12.12,12.70,11.54,231849,378920352.00,10.07,5.21,0.60,17.24
2020-03-13,11.74,12.64,12.94,11.43,243012,401890976.00,12.74,6.67,0.79,18.07
2020-03-17,12.91,12.20,13.07,11.51,179278,288210512.00,12.23,-4.39,-0.56,13.33
2020-03-19,12.57,13.16,13.45,12.17,230281,390477472.00,9.97,2.49,0.32,17.13
2020-03-23,13.08,12.85,13.54,12.54,173205,298870640.00,7.33,-5.79,-0.79,12.88
2020-03-24,13.20,14.16,14.16,13.05,293110,535269376.00,8.64,10.19,1.31,21.80
2020-03-26,13.39,12.70,13.71,12.43,203024,348796224.00,9.32,-7.57,-1.04,15.10
2020-03-30,11.84,11.31,11.84,11.09,105863,160056635.00,6.21,-6.37,-0.77,7.87
2020-04-01,11.48,11.10,11.77,11.09,75793,114775221.00,5.85,-4.48,-0.52,5.64
2020-04-03,11.29,10.93,11.29,10.90,60424,88608487.00,3.44,-3.70,-0.42,4.49
2020-04-08,11.61,11.47,11.70,11.43,74238,113486607.00,2.32,-1.38,-0.16,5.52
2020-04-09,11.55,11.60,11.71,11.47,77203,118723466.00,2.09,1.13,0.13,5.74
2020-04-13,10.83,10.63,10.90,10.54,41576,58909773.00,3.29,-2.83,-0.31,3.09
2020-04-15,11.00,10.73,11.12,10.67,43049,62166481.00,4.14,-1.29,-0.14,3.20
2020-04-17,11.32,11.17,11.54,11.15,77316,116221287.00,3.44,-1.50,-0.17,5.75
2020-04-21,11.42,11.99,12.22,11.39,105421,164221533.00,7.16,3.36,0.39,7.84
2020-04-23,11.95,11.77,12.07,11.61,70364,110257593.00,3.86,-1.34,-0.16,5.23
2020-04-27,11.54,11.35,11.62,11.32,34295,52027853.00,2.62,-0.70,-0.08,2.55
2020-04-28,11.44,10.83,11.44,10.27,59915,85781237.00,10.31,-4.58,-0.52,4.46
2020-04-30,10.77,11.01,11.20,10.67,38106,55548397.00,4.99,3.57,0.38,2.83
2020-05-07,11.44,11.24,11.44,11.20,37443,56175333.00,2.12,-0.71,-0.08,2.78
2020-05-11,11.58,11.64,11.74,11.47,45344,69776555.00,2.35,1.22,0.14,3.37
2020-05-13,11.34,11.57,11.70,11.34,36049,55407971.00,3.11,-0.09,-0.01,2.68
2020-05-15,12.38,11.87,12.38,11.74,119349,189786163.00,5.57,3.22,0.37,8.88
2020-05-19,11.62,11.76,11.80,11.50,48900,75854875.00,2.61,2.44,0.28,3.64
2020-05-20,11.77,11.90,11.97,11.57,55737,87093527.00,3.40,1.19,0.14,4.15
2020-05-22,11.91,11.40,11.91,11.12,57679,87773331.00,6.60,-4.76,-0.57,4.29
2020-05-26,10.95,11.10,11.15,10.93,34909,51096510.00,2.01,1.37,0.15,2.60
2020-05-28,11.00,11.16,11.17,10.78,25491,37209923.00,3.53,1.09,0.12,1.90
