日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,8.28,8.34,8.42,8.28,106235,89106951.00,1.71,1.96,0.16,2.27
2020-01-06,8.20,8.31,8.44,8.20,145603,121716888.00,2.85,-1.31,-0.11,3.11
2020-01-08,8.60,8.53,8.74,8.42,205211,177127084.00,3.66,-2.51,-0.22,4.38
2020-01-10,8.80,8.61,8.84,8.46,154200,132985703.00,4.36,-1.26,-0.11,3.29
2020-01-14,8.55,8.57,8.58,8.42,114143,97472057.00,1.88,0.59,0.05,2.44
2020-01-16,8.81,8.64,8.86,8.56,162294,141577342.00,3.39,-2.48,-0.22,3.46
2020-01-20,8.86,8.79,9.01,8.64,169187,149405116.00,4.35,3.29,0.28,3.61
2020-01-22,8.51,8.56,8.63,8.28,119142,101332420.00,4.07,-0.47,-0.04,2.54
2020-02-03,7.26,7.26,7.26,7.26,8525,6223250.00,0.00,-10.04,-0.81,0.18
2020-02-04,6.53,6.87,7.02,6.53,160712,110533243.00,6.75,-5.37,-0.39,3.43
2020-02-06,6.93,7.23,7.29,6.91,146518,105002375.00,5.48,4.33,0.30,3.13
2020-02-10,7.64,7.72,7.81,7.52,159665,122945578.00,3.85,2.52,0.19,3.41
2020-02-12,7.59,7.70,7.73,7.52,106481,81948710.00,2.78,1.85,0.14,2.23
2020-02-14,7.56,7.66,7.86,7.54,122968,94893838.00,4.20,0.66,0.05,2.57
2020-02-18,8.06,8.19,8.19,7.91,175279,142312888.00,3.51,2.76,0.22,3.67
2020-02-20,7.99,8.29,8.39,7.90,214471,176339979.00,6.11,3.37,0.27,4.49
2020-02-24,8.84,9.11,9.26,8.64,543668,491654608.00,6.80,-0.11,-0.01,11.38
2020-02-25,8.76,8.85,8.94,8.20,401578,349682752.00,8.12,-2.85,-0.26,8.41
2020-02-27,8.49,8.77,8.90,8.46,293731,257490521.00,5.20,3.66,0.31,6.15
2020-03-02,8.11,8.36,8.47,8.04,174929,145597928.00,5.39,4.76,0.38,3.66
2020-03-04,8.14,8.42,8.52,8.06,232709,194644758.00,5.41,-1.06,-0.09,4.87
2020-03-06,8.46,8.39,8.62,8.35,153618,130262546.00,3.13,-2.89,-0.25,3.22
2020-03-10,7.60,7.94,7.95,7.51,126001,98219596.00,5.69,2.72,0.21,2.64
2020-03-12,7.65,7.62,7.76,7.51,95129,73193894.00,3.19,-2.81,-0.22,1.99
2020-03-16,9.23,8.15,9.23,8.11,515036,452974512.00,13.35,-2.86,-0.24,10.78
2020-03-18,7.51,7.11,7.62,7.09,216698,160610315.00,7.08,-5.07,-0.38,4.54
2020-03-19,7.05,7.34,7.43,6.86,146714,105624230.00,8.02,3.23,0.23,3.07
2020-03-23,7.06,6.88,7.14,6.86,103416,72570680.00,3.85,-5.49,-0.40,2.17
2020-03-25,7.34,7.37,7.47,7.24,162803,120044009.00,3.15,0.96,0.07,3.41
2020-03-27,7.26,7.04,7.29,7.03,72259,51949797.00,3.63,-1.68,-0.12,1.51
2020-03-31,6.95,6.95,7.02,6.90,47278,33082290.00,1.74,1.02,0.07,0.99
2020-04-02,6.82,7.06,7.06,6.82,64138,44890554.00,3.50,2.92,0.20,1.34
2020-04-07,7.24,7.69,7.69,7.17,236704,180060820.00,7.44,10.01,0.70,4.96
2020-04-09,7.46,7.58,7.69,7.40,176649,134147741.00,3.88,1.47,0.11,3.70
2020-04-10,7.48,7.26,7.54,7.17,167482,123351255.00,4.88,-4.22,-0.32,3.51
2020-04-14,7.18,7.31,7.32,7.15,77446,56423230.00,2.38,2.24,0.16,1.62
2020-04-16,8.86,8.86,8.86,8.63,333682,296427792.00,2.86,10.06,0.81,6.99
2020-04-20,9.38,10.73,10.73,8.86,1204638,1173009184.00,19.18,10.05,0.98,25.23
2020-04-22,9.63,10.22,11.31,9.62,1205801,1245255120.00,16.02,-3.13,-0.33,25.25
2020-04-24,10.96,10.60,11.14,10.22,995578,1068630800.00,8.18,-5.78,-0.65,20.85
