日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,31.15,30.60,31.26,30.51,28296,88636063.00,2.40,-1.92,-0.60,3.12
2020-01-06,30.38,32.01,32.15,30.12,27731,88393961.00,6.68,5.33,1.62,3.06
2020-01-08,33.91,34.33,35.27,33.86,27679,97251193.00,4.00,-2.67,-0.94,3.05
2020-01-10,35.02,35.03,35.40,34.72,12984,46349125.00,1.94,0.09,0.03,1.43
2020-01-14,35.20,34.64,35.59,34.12,13775,48678623.00,4.15,-2.17,-0.77,1.52
2020-01-16,34.38,34.18,35.01,33.85,9391,32868724.00,3.38,-0.38,-0.13,1.04
2020-01-20,33.71,33.69,34.29,33.58,8978,30842497.00,2.09,-0.80,-0.27,0.99
2020-01-22,32.95,32.90,33.44,32.00,13862,46356674.00,4.38,0.15,0.05,1.53
2020-02-03,29.83,29.83,30.26,29.83,11693,35578742.00,1.29,-10.18,-3.38,1.29
2020-02-04,29.83,30.30,30.84,29.43,17052,52567239.00,4.73,1.58,0.47,1.88
2020-02-06,30.69,31.55,31.81,29.94,18055,56835702.00,6.14,3.65,1.11,1.99
2020-02-10,30.78,30.64,30.83,30.07,23080,71443561.00,2.45,-1.35,-0.42,2.55
2020-02-12,33.08,34.91,35.98,32.63,49098,170620773.00,9.92,3.41,1.15,5.42
2020-02-14,33.51,33.81,35.21,32.99,23911,83058939.00,6.69,1.96,0.65,2.64
2020-02-18,38.98,37.20,38.98,36.61,31172,118731049.00,6.36,-0.13,-0.05,3.44
2020-02-20,38.76,38.90,40.40,38.44,22264,88199362.00,5.09,1.09,0.42,2.46
2020-02-24,38.63,38.93,40.22,37.41,19434,76376146.00,7.34,1.72,0.66,2.14
2020-02-25,37.97,37.97,39.38,36.49,20234,77951751.00,7.42,-2.47,-0.96,2.23
2020-02-27,37.41,37.47,38.21,35.94,22750,85441949.00,6.11,0.83,0.31,2.51
2020-03-02,35.49,37.41,37.57,34.86,17832,66091960.00,7.54,4.15,1.49,1.97
2020-03-04,36.42,37.28,38.07,36.13,15152,57413648.00,5.27,1.28,0.47,1.67
2020-03-06,37.86,38.26,39.21,37.44,13303,51529881.00,4.67,0.90,0.34,1.47
2020-03-10,35.61,36.90,37.41,35.31,10989,40821609.00,5.79,1.68,0.61,1.21
2020-03-12,38.18,36.76,38.24,36.50,12751,47988909.00,4.59,-3.06,-1.16,1.41
2020-03-16,35.77,34.29,36.07,34.17,12915,45859417.00,5.31,-4.16,-1.49,1.43
2020-03-18,35.41,34.51,35.70,34.15,9862,35049425.00,4.43,-1.32,-0.46,1.09
2020-03-19,34.33,33.78,34.89,33.29,10542,36549712.00,4.64,-2.12,-0.73,1.16
2020-03-23,33.21,32.56,33.21,32.40,13307,44214529.00,2.40,-3.67,-1.24,1.47
2020-03-25,33.80,34.13,34.52,33.61,14776,51325303.00,2.73,2.40,0.80,1.63
2020-03-27,33.63,33.24,33.81,32.67,9187,31127155.00,3.42,-0.15,-0.05,1.01
2020-03-31,32.49,32.77,33.73,32.49,8319,28041776.00,3.85,1.77,0.57,0.92
2020-04-02,32.19,32.85,32.86,32.13,5504,18149005.00,2.26,1.55,0.50,0.61
2020-04-07,33.41,33.68,33.95,32.92,11860,40675716.00,3.16,3.34,1.09,1.31
2020-04-09,33.77,33.96,34.20,33.51,7478,25795538.00,2.04,0.56,0.19,0.83
2020-04-10,34.37,33.11,34.37,32.71,9126,31016798.00,4.89,-2.50,-0.85,1.01
2020-04-14,34.51,34.01,34.52,33.85,12666,43930460.00,1.96,-0.44,-0.15,1.40
2020-04-16,33.42,33.12,33.68,32.92,9284,31408804.00,2.26,-1.58,-0.53,1.02
2020-04-20,33.26,33.68,33.98,33.03,7269,24734992.00,2.85,0.99,0.33,0.80
2020-04-22,33.36,35.20,35.20,33.36,20278,71444234.00,5.47,4.58,1.54,2.24
2020-04-24,34.41,36.07,36.31,34.41,18453,67185462.00,5.48,4.10,1.42,2.04
2020-04-28,36.84,37.26,37.48,35.62,10677,39967106.00,5.06,1.33,0.49,1.18
2020-04-30,37.87,37.73,38.03,37.20,11783,45080603.00,2.21,0.27,0.10,1.30
2020-05-06,37.73,37.77,38.21,36.60,13403,51105511.00,4.27,0.11,0.04,1.48
2020-05-08,38.19,37.60,38.72,37.24,19520,74834903.00,3.88,-1.54,-0.59,2.15
2020-05-12,36.76,39.06,40.35,36.76,30381,120598498.00,9.77,6.26,2.30,3.35
2020-05-14,40.22,42.71,43.41,38.74,37110,157275218.00,11.85,8.37,3.30,4.10
2020-05-18,42.98,42.09,42.98,41.44,19459,83341736.00,3.61,-1.38,-0.59,2.15
2020-05-20,45.47,44.91,46.27,43.99,17116,77735134.00,5.02,-1.10,-0.50,1.89
2020-05-22,44.46,42.93,44.46,42.15,13966,61234078.00,5.25,-2.45,-1.08,1.54
2020-05-26,42.94,44.51,45.01,42.67,19948,89200990.00,5.51,4.85,2.06,2.20
2020-05-28,42.21,41.30,42.81,40.46,13759,57700957.00,5.56,-2.36,-1.00,1.52
2020-05-29,41.03,44.02,44.72,41.03,21250,93930166.00,8.93,6.59,2.72,2.35
2020-06-02,44.59,43.03,45.10,42.20,21208,92773219.00,6.50,-3.50,-1.56,2.34
2020-06-04,43.21,43.72,46.77,42.28,24150,109318885.00,10.39,1.18,0.51,2.67
2020-06-08,42.79,41.83,43.08,41.43,15739,67196245.00,3.86,-2.22,-0.95,1.74
2020-06-10,42.94,42.29,43.94,42.03,11603,50105303.00,4.42,-2.06,-0.89,1.28
2020-06-12,41.28,42.38,42.86,40.67,12276,52277704.00,5.25,1.58,0.66,1.35
2020-06-16,41.86,42.28,43.87,41.84,18417,79651440.00,4.84,0.76,0.32,2.03
2020-06-18,42.41,41.00,42.93,40.41,19708,82373855.00,5.93,-3.51,-1.49,2.18
2020-06-19,40.82,42.39,42.56,40.40,26365,110964340.00,5.27,3.39,1.39,2.91
2020-06-23,40.77,39.90,40.93,38.96,23906,96580590.00,4.81,-2.59,-1.06,2.64
2020-06-29,41.40,41.43,41.69,40.22,14513,60631805.00,3.58,0.95,0.39,1.05
2020-07-01,44.45,41.57,44.84,41.01,31095,134037660.00,8.72,-5.33,-2.34,1.73
2020-07-03,43.42,46.03,46.21,42.37,23013,103713906.00,8.93,7.00,3.01,1.28
2020-07-07,45.37,45.80,45.95,44.46,28417,130093528.00,3.29,1.15,0.52,1.58
2020-07-09,46.41,47.33,48.09,46.11,20114,95935020.00,4.31,2.94,1.35,1.12
2020-07-13,46.71,47.08,48.26,46.52,24347,115941089.00,3.74,1.18,0.55,1.35
2020-07-14,47.47,45.44,47.85,44.24,34486,158098349.00,7.67,-3.48,-1.64,1.92
2020-07-16,50.58,47.90,52.45,47.48,50225,251394650.00,9.93,-4.26,-2.13,2.79
2020-07-20,56.58,51.92,56.88,50.03,44875,235305239.00,12.99,-1.54,-0.81,2.49
2020-07-22,53.58,53.31,55.42,51.78,29494,159319733.00,6.66,-2.43,-1.33,1.64
2020-07-24,51.88,52.27,54.11,51.24,23253,122754996.00,5.31,-3.35,-1.81,1.29
2020-07-28,54.54,54.37,55.56,52.60,25040,136341228.00,5.43,-0.20,-0.11,1.39
2020-07-30,57.31,57.76,58.07,55.36,19545,111785573.00,4.74,1.01,0.58,1.09
2020-08-03,59.75,59.49,60.83,58.39,17213,103156490.00,4.13,0.57,0.34,0.96
2020-08-05,62.89,66.24,68.26,62.58,26016,171051288.00,9.04,5.38,3.38,1.45
2020-08-06,65.58,63.68,65.58,61.75,18864,120076159.00,5.78,-3.86,-2.56,1.05
2020-08-10,61.59,63.21,64.02,60.92,13929,87765438.00,5.03,2.63,1.62,0.77
2020-08-12,59.51,58.95,60.97,57.28,16898,99693307.00,6.22,-0.57,-0.34,0.94
2020-08-14,59.08,59.59,59.76,56.98,10688,62832516.00,4.67,0.18,0.11,0.59
2020-08-18,59.58,60.87,62.16,59.08,21117,129295314.00,5.20,2.68,1.59,1.17
2020-08-20,57.08,57.50,57.99,55.36,13749,78803362.00,4.63,1.20,0.68,0.76
2020-08-24,59.27,58.73,60.28,57.20,14724,87676166.00,5.28,0.60,0.35,0.82
2020-08-26,59.30,64.98,67.57,59.30,37167,237830332.00,14.00,9.99,5.90,2.06
2020-08-27,64.22,64.91,67.05,63.27,24141,157669866.00,5.82,-0.11,-0.07,1.34
2020-08-31,66.45,66.99,69.38,64.59,19816,133903788.00,7.23,1.12,0.74,1.10
2020-09-02,67.46,68.67,70.17,66.93,17565,121759769.00,4.82,2.19,1.47,0.98
2020-09-04,65.72,66.35,67.10,65.08,17326,115191682.00,3.02,-0.88,-0.59,0.96
2020-09-08,59.98,59.94,61.24,58.61,21861,131596868.00,4.41,0.60,0.36,1.21
2020-09-10,56.48,54.16,56.83,52.94,21258,117007417.00,6.99,-2.69,-1.50,1.18
2020-09-14,55.86,55.26,56.58,54.28,15448,85573768.00,4.12,-1.11,-0.62,0.86
2020-09-16,55.58,55.46,56.54,54.60,10413,58269331.00,3.50,0.07,0.04,0.58
2020-09-17,55.81,56.68,58.16,55.35,11690,66920442.00,5.07,2.20,1.22,0.65
2020-09-21,58.83,58.99,59.93,56.88,13035,76664832.00,5.24,1.41,0.82,0.72
2020-09-23,59.29,58.19,59.29,56.60,13262,76853445.00,4.62,0.03,0.02,0.74
2020-09-25,56.01,56.98,57.46,55.38,10064,57329083.00,3.71,1.75,0.98,0.56
2020-09-29,58.58,58.80,59.58,57.58,8473,50116409.00,3.45,1.38,0.80,0.47
2020-10-09,60.78,61.48,61.84,59.62,15628,95534212.00,3.67,1.65,1.00,0.87
2020-10-13,60.53,59.42,60.53,58.58,13751,82228345.00,3.22,-1.83,-1.11,0.76
2020-10-15,60.83,61.49,62.46,59.72,13748,84650811.00,4.49,0.69,0.42,0.76
2020-10-19,58.16,58.38,59.98,57.39,10542,62265427.00,4.43,-0.15,-0.09,0.59
2020-10-20,58.18,58.78,59.16,57.68,7989,46939128.00,2.54,0.69,0.40,0.44
2020-10-22,58.23,58.28,59.18,57.43,9853,57759703.00,2.99,-0.51,-0.30,0.55
2020-10-26,55.44,56.48,56.88,54.59,6285,35411950.00,4.10,1.18,0.66,0.35
2020-10-28,56.58,57.08,57.83,55.70,10967,62965167.00,3.76,0.83,0.47,0.61
2020-10-30,58.58,59.78,60.00,57.28,17114,101404729.00,4.67,2.68,1.56,0.95
2020-11-03,58.08,59.03,59.81,56.90,10816,63686868.00,5.03,2.04,1.18,0.60
2020-11-05,57.58,57.41,58.28,56.84,9728,56220950.00,2.50,-0.30,-0.17,0.54
2020-11-09,53.22,55.52,56.72,53.01,12915,71953946.00,6.94,3.80,2.03,0.72
2020-11-10,55.80,54.38,56.68,53.69,11656,63971250.00,5.39,-2.05,-1.14,0.65
2020-11-12,54.62,52.62,54.88,52.53,16675,89605329.00,4.34,-2.74,-1.48,0.93
2020-11-16,51.66,49.87,51.84,49.08,29397,147839688.00,5.34,-3.45,-1.78,1.63
2020-11-18,49.56,50.14,50.14,47.13,18692,92106380.00,6.14,2.26,1.11,1.04
2020-11-20,50.56,52.98,53.33,50.46,13887,73489253.00,5.67,4.74,2.40,0.77
2020-11-24,53.13,52.34,53.13,51.76,6599,34689566.00,2.59,-0.87,-0.46,0.37
2020-11-26,52.51,53.28,54.52,52.22,12675,68216817.00,4.36,1.00,0.53,0.70
2020-11-30,52.68,52.98,53.39,52.48,7217,38570379.00,1.72,-0.08,-0.04,0.40
2020-12-01,53.04,51.94,53.64,51.88,8778,46300084.00,3.32,-1.96,-1.04,0.49
2020-12-03,52.46,49.78,52.46,49.43,21626,109069405.00,5.86,-3.75,-1.94,1.20
2020-12-07,52.70,52.58,53.76,52.24,9895,52697152.00,2.89,0.04,0.02,0.55
2020-12-09,52.58,51.08,52.87,50.40,8021,41590965.00,4.74,-2.07,-1.08,0.45
2020-12-11,52.24,50.78,52.45,50.10,10440,53526745.00,4.50,-2.72,-1.42,0.58
2020-12-15,51.22,51.76,52.08,50.77,7842,40787622.00,2.58,1.77,0.90,0.44
2020-12-17,52.08,50.55,52.83,50.08,12172,62740045.00,5.26,-3.24,-1.69,0.68
2020-12-21,49.15,49.68,50.96,48.64,21824,109737616.00,4.72,1.08,0.53,1.21
2020-12-23,49.33,49.58,50.54,48.49,11956,59092044.00,4.12,-0.32,-0.16,0.66
2020-12-24,49.76,50.58,51.57,48.93,11019,56303563.00,5.32,2.02,1.00,0.61
2020-12-28,51.94,52.15,52.98,51.23,8778,46272046.00,3.37,0.52,0.27,0.49
2020-12-30,52.07,51.98,52.43,50.88,7415,38584125.00,2.96,-0.57,-0.30,0.41
2021-01-04,53.36,51.75,53.38,50.86,23138,120441934.00,4.69,-3.60,-1.93,1.29
2021-01-06,51.85,52.83,53.05,50.88,13232,69698482.00,4.14,0.82,0.43,0.74
2021-01-08,54.58,51.77,55.84,50.73,26899,142235658.00,9.28,-5.94,-3.27,1.49
2021-01-12,50.22,50.03,50.84,48.28,17182,86234074.00,5.10,-0.42,-0.21,0.95
2021-01-14,46.61,46.14,47.61,44.19,30215,138346326.00,7.26,-2.00,-0.94,1.68
2021-01-15,46.78,48.43,48.43,46.35,15919,76213209.00,4.51,4.96,2.29,0.88
2021-01-19,47.84,49.19,49.85,47.26,24728,122164814.00,5.43,3.19,1.52,1.37
2021-01-21,48.99,48.29,49.45,47.08,19702,95476670.00,4.83,-1.49,-0.73,1.09
2021-01-25,48.69,47.57,49.64,47.18,13036,62910039.00,5.05,-2.28,-1.11,0.72
2021-01-27,47.22,47.60,48.44,47.08,6631,31956292.00,2.84,-0.73,-0.35,0.37
2021-01-29,49.57,53.54,56.24,49.57,39877,215719866.00,13.87,11.31,5.44,2.22
2021-02-02,56.58,58.88,59.54,55.77,28066,163364048.00,6.83,6.69,3.69,1.56
2021-02-04,57.53,58.42,59.08,56.62,15946,93136730.00,4.20,-0.19,-0.11,0.89
2021-02-05,57.85,55.91,58.71,55.78,13375,77004235.00,5.02,-4.30,-2.51,0.74
2021-02-09,57.49,58.55,60.08,57.16,16276,96378372.00,5.03,0.81,0.47,0.90
2021-02-18,61.01,58.01,61.01,57.08,17687,104032315.00,6.53,-3.56,-2.14,0.98
2021-02-22,59.16,57.58,59.16,56.78,13992,81569201.00,4.07,-1.51,-0.88,0.77
2021-02-24,59.59,61.53,62.06,57.91,27734,169160821.00,6.89,2.11,1.27,1.53
2021-02-26,56.59,53.96,58.15,53.43,37729,210070374.00,8.07,-7.78,-4.55,2.09
2021-03-02,57.33,56.11,57.33,55.38,12187,69014288.00,3.42,-1.70,-0.97,0.67
2021-03-04,57.97,56.16,58.42,55.60,12449,71071961.00,4.86,-3.12,-1.81,0.69
2021-03-08,56.12,51.58,56.45,51.37,18005,95654610.00,9.12,-7.38,-4.11,1.00
2021-03-09,51.26,50.56,51.80,49.27,11061,56402670.00,4.91,-1.98,-1.02,0.61
2021-03-11,49.39,51.78,52.05,49.39,5994,30894700.00,5.34,4.00,1.99,0.33
2021-03-15,51.55,49.78,52.29,49.66,7010,35733318.00,5.04,-4.67,-2.44,0.39
2021-03-17,52.08,50.60,52.15,49.80,6241,31856678.00,4.61,-0.71,-0.36,0.35
2021-03-19,50.70,52.40,53.46,50.31,9444,49785179.00,6.21,3.37,1.71,0.52
2021-03-23,51.28,50.98,51.73,50.39,5668,29137874.00,2.61,-0.84,-0.43,0.31
2021-03-25,49.59,49.17,50.57,48.98,6455,32321813.00,3.19,-1.23,-0.61,0.36
2021-03-29,52.08,52.30,53.16,51.53,6192,32681402.00,3.15,1.08,0.56,0.34
2021-03-30,52.38,52.09,52.80,51.67,5298,27845351.00,2.16,-0.40,-0.21,0.29
2021-04-01,51.47,52.96,53.43,50.60,6568,34692684.00,5.54,3.66,1.87,0.36
2021-04-06,51.56,52.27,53.57,51.56,4458,23615299.00,3.82,-0.57,-0.30,0.25
2021-04-08,50.51,53.08,53.53,49.95,10560,55592529.00,7.09,5.09,2.57,0.58
2021-04-12,54.66,56.85,58.15,54.66,17341,99652526.00,6.47,5.39,2.91,0.96
2021-04-14,55.94,58.65,59.05,55.77,12854,75474311.00,5.79,3.53,2.00,0.71
2021-04-16,57.72,56.28,57.73,55.79,9312,53003960.00,3.36,-2.48,-1.43,0.52
2021-04-20,54.96,55.93,56.76,54.95,7449,42121173.00,3.23,-0.09,-0.05,0.41
