日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,6.27,6.64,6.74,6.21,183744,221409711.00,8.60,7.79,0.48,6.17
2020-01-06,6.61,6.76,6.89,6.52,138265,170642751.00,5.52,0.90,0.06,4.63
2020-01-08,6.77,6.79,6.87,6.64,103075,128166487.00,3.35,-1.16,-0.08,3.45
2020-01-10,6.82,7.03,7.09,6.82,136936,176072050.00,3.96,3.08,0.21,4.59
2020-01-14,7.07,7.02,7.11,6.94,65670,84367670.00,2.40,-0.71,-0.05,2.20
2020-01-16,6.77,6.88,7.11,6.73,94368,120097529.00,5.55,0.44,0.03,3.14
2020-01-20,6.84,6.92,6.97,6.75,79438,99803257.00,3.23,1.47,0.10,2.64
2020-01-22,6.64,6.72,6.77,6.50,63127,77023105.00,4.03,0.30,0.02,2.10
2020-01-23,6.64,6.38,6.84,6.32,109827,132317433.00,7.74,-5.06,-0.34,3.66
2020-02-04,5.59,5.96,6.07,5.59,119105,127557915.00,8.38,4.01,0.23,3.96
2020-02-06,5.98,5.94,6.04,5.88,106413,116699519.00,2.68,-0.67,-0.04,3.54
2020-02-10,5.94,6.13,6.16,5.85,129906,144138546.00,5.18,2.34,0.14,4.32
2020-02-12,6.24,6.40,6.49,6.23,87287,102473682.00,4.18,2.89,0.18,2.91
2020-02-14,6.38,6.36,6.47,6.28,57014,66801119.00,2.96,-0.78,-0.05,1.90
2020-02-18,6.47,6.62,6.64,6.46,79025,95272892.00,2.78,2.16,0.14,2.63
2020-02-19,6.59,6.57,6.67,6.54,60924,73878535.00,1.96,-0.76,-0.05,2.03
2020-02-21,6.71,6.61,6.73,6.54,82017,100084004.00,2.84,-1.05,-0.07,2.73
2020-02-25,6.59,6.52,6.63,6.38,90005,107910543.00,3.73,-2.83,-0.19,3.00
2020-02-27,6.62,7.00,7.17,6.62,193029,248455254.00,8.31,5.74,0.38,6.43
2020-03-02,7.40,7.87,7.87,7.40,228188,325665824.00,6.58,10.22,0.73,7.60
2020-03-04,7.86,8.78,8.88,7.81,398324,621351904.00,12.94,6.17,0.51,13.26
2020-03-06,8.59,8.90,9.18,8.58,258777,419845792.00,6.85,1.60,0.14,8.61
2020-03-09,8.71,8.58,9.17,8.31,285349,460192944.00,9.66,-3.60,-0.32,9.50
2020-03-11,8.92,8.98,9.17,8.76,138500,226870569.00,4.58,0.22,0.02,4.61
2020-03-13,8.22,9.17,9.19,8.22,154934,248842070.00,11.02,4.20,0.37,5.16
2020-03-17,8.75,8.64,8.81,8.03,158141,244350837.00,9.20,1.89,0.16,5.26
2020-03-19,9.03,8.98,9.12,8.30,140574,223943166.00,9.18,0.56,0.05,4.68
2020-03-23,9.48,9.27,10.14,9.14,207067,364672848.00,10.11,-6.27,-0.62,6.89
2020-03-25,9.48,9.51,9.72,9.03,171006,292341072.00,7.40,2.04,0.19,5.69
2020-03-26,9.42,9.65,9.74,9.37,127462,222982682.00,3.89,1.47,0.14,4.24
2020-03-30,9.56,9.71,9.96,9.47,108578,192052751.00,5.01,-0.72,-0.07,3.61
2020-04-01,10.34,9.96,10.56,9.93,93412,173488252.00,6.15,-2.73,-0.28,3.11
2020-04-03,9.48,9.24,9.48,8.84,216092,363048752.00,6.60,-4.74,-0.46,7.19
2020-04-08,9.93,10.15,10.23,9.73,115278,208932599.00,5.01,1.60,0.16,3.84
2020-04-10,10.09,10.11,10.27,9.58,145297,263253029.00,6.84,0.20,0.02,4.84
2020-04-14,10.71,10.73,10.95,10.42,77647,151570561.00,5.00,1.32,0.14,2.58
