日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-12-10,52.15,61.34,67.86,51.33,191469,1057858464.00,42.48,57.65,22.43,67.30
2021-12-13,57.23,62.87,64.83,55.40,157804,928184336.00,15.37,2.49,1.53,55.47
2021-12-14,61.33,63.12,66.11,60.23,126716,799281088.00,9.35,0.40,0.25,44.54
2021-12-15,60.83,67.90,71.71,59.44,154617,1007907104.00,19.44,7.57,4.78,54.35
2021-12-16,65.83,78.03,82.55,64.76,160275,1160479920.00,26.20,14.92,10.13,56.33
2021-12-17,77.83,66.58,82.82,66.41,147569,1078992800.00,21.03,-14.67,-11.45,51.87
2021-12-20,62.90,58.14,64.13,57.03,117435,715663264.00,10.66,-12.68,-8.44,41.28
2021-12-21,57.03,56.28,58.26,55.73,65484,372434656.00,4.35,-3.20,-1.86,23.02
2021-12-22,56.33,54.54,57.26,54.52,67105,373309136.00,4.87,-3.09,-1.74,23.59
2021-12-23,53.83,55.30,56.61,53.30,67049,370534496.00,6.07,1.39,0.76,23.57
2021-12-24,54.71,49.97,54.71,49.78,75915,397078704.00,8.92,-9.64,-5.33,26.68
2021-12-27,49.83,48.50,50.83,48.34,44973,222980454.00,4.98,-2.94,-1.47,15.81
2021-12-28,48.55,49.44,49.69,48.01,37831,185622736.00,3.46,1.94,0.94,13.30
2021-12-29,49.91,51.83,52.81,49.89,67662,349688208.00,5.91,4.83,2.39,23.78
2021-12-30,50.89,49.88,51.13,49.81,47224,238797081.00,2.55,-3.76,-1.95,16.60
2021-12-31,50.83,59.89,59.89,50.33,153886,891721568.00,19.17,20.07,10.01,54.09
2022-01-04,55.41,53.81,56.82,53.63,122605,672915936.00,5.33,-10.15,-6.08,43.09
2022-01-05,53.33,51.08,53.58,50.25,69448,356500848.00,6.19,-5.07,-2.73,24.41
2022-01-06,50.05,51.26,51.68,50.05,46984,240701746.00,3.19,0.35,0.18,16.51
2022-01-07,51.13,48.93,51.13,48.57,51824,257790100.00,4.99,-4.55,-2.33,18.22
2022-01-10,48.43,49.64,49.90,48.15,28779,142062817.00,3.58,1.45,0.71,10.12
2022-01-11,49.66,49.09,50.11,48.59,29354,145098524.00,3.06,-1.11,-0.55,10.32
2022-01-12,49.33,50.13,50.26,49.11,31828,158753469.00,2.34,2.12,1.04,11.19
2022-01-13,50.78,49.39,51.13,49.36,32590,163577399.00,3.53,-1.48,-0.74,11.45
2022-01-14,49.33,49.17,50.53,48.43,29598,147203424.00,4.25,-0.45,-0.22,10.40
2022-01-17,48.83,49.91,50.23,48.01,31072,153666610.00,4.51,1.50,0.74,10.92
2022-01-18,49.99,48.91,50.61,48.50,29934,147981172.00,4.23,-2.00,-1.00,10.52
2022-01-19,48.64,46.34,49.14,46.23,44112,209373403.00,5.95,-5.25,-2.57,15.50
2022-01-20,45.83,43.75,46.08,43.71,38350,172160985.00,5.11,-5.59,-2.59,13.48
2022-01-21,43.78,43.80,44.48,43.13,20548,90493968.00,3.09,0.11,0.05,7.22
2022-01-24,44.18,45.89,48.61,44.06,44295,205459906.00,10.39,4.77,2.09,15.57
2022-01-25,45.11,44.11,45.75,43.84,27483,123221041.00,4.16,-3.88,-1.78,9.66
2022-01-26,45.06,46.21,48.42,45.06,46737,218716246.00,7.62,4.76,2.10,16.43
2022-01-27,46.45,46.58,48.68,45.01,55854,264924192.00,7.94,0.80,0.37,19.63
2022-01-28,45.73,44.88,46.65,43.13,38436,172712664.00,7.56,-3.65,-1.70,13.51
2022-02-07,45.83,45.24,46.47,44.88,24451,111467883.00,3.54,0.80,0.36,8.59
2022-02-08,44.47,44.93,44.99,43.63,23585,104532419.00,3.01,-0.69,-0.31,8.29
2022-02-09,44.55,45.71,45.91,44.12,26974,122073508.00,3.98,1.74,0.78,9.48
2022-02-10,46.21,44.93,46.43,44.91,21812,99249266.00,3.33,-1.71,-0.78,7.67
2022-02-11,44.13,42.07,44.52,41.98,30025,129468736.00,5.65,-6.37,-2.86,10.55
2022-02-14,41.33,41.88,42.43,41.22,14560,61259032.00,2.88,-0.45,-0.19,5.12
2022-02-15,41.89,42.47,42.96,41.89,16347,69703177.00,2.55,1.41,0.59,5.75
2022-02-16,42.81,43.29,43.83,42.52,21942,94874987.00,3.08,1.93,0.82,7.71
2022-02-17,43.29,43.83,45.16,43.05,32741,144908595.00,4.87,1.25,0.54,11.51
2022-02-18,43.28,43.34,43.80,42.73,23733,102693009.00,2.44,-1.12,-0.49,8.34
2022-02-21,43.63,44.09,44.20,43.34,21166,93124875.00,1.98,1.73,0.75,7.44
2022-02-22,43.68,44.32,45.41,43.14,29409,130676194.00,5.15,0.52,0.23,10.34
2022-02-23,44.18,46.18,46.79,44.18,51812,239213003.00,5.89,4.20,1.86,18.21
2022-02-24,45.73,45.33,47.18,44.36,49183,226858906.00,6.11,-1.84,-0.85,17.29
2022-02-25,46.09,44.94,46.72,44.84,27485,125461382.00,4.15,-0.86,-0.39,9.66
2022-02-28,44.83,47.13,47.13,43.42,45657,208476575.00,8.26,4.87,2.19,16.05
2022-03-01,47.83,47.82,49.82,47.14,65195,316064784.00,5.69,1.46,0.69,22.91
2022-03-02,47.19,49.58,50.82,46.66,79798,389070528.00,8.70,3.68,1.76,28.05
2022-03-03,48.89,47.64,49.03,47.42,47899,231265993.00,3.25,-3.91,-1.94,16.84
2022-03-04,46.83,46.94,48.64,46.40,31303,148754336.00,4.70,-1.47,-0.70,11.00
2022-03-07,46.21,46.32,47.19,45.27,29150,135068797.00,4.09,-1.32,-0.62,10.25
2022-03-08,46.71,48.21,50.73,45.33,67808,328466192.00,11.66,4.08,1.89,23.83
2022-03-09,49.49,55.96,57.89,49.22,165573,924661392.00,17.98,16.08,7.75,58.20
2022-03-10,53.49,54.81,58.13,53.03,138317,766229344.00,9.11,-2.06,-1.15,48.62
2022-03-11,52.03,51.00,53.33,49.60,93226,480372416.00,6.81,-6.95,-3.81,32.77
2022-03-14,49.71,50.22,52.14,48.83,58106,296084752.00,6.49,-1.53,-0.78,20.42
2022-03-15,49.40,49.72,52.08,49.01,67435,342591280.00,6.11,-1.00,-0.50,23.70
2022-03-16,50.73,46.71,50.86,43.83,81148,380796256.00,14.14,-6.05,-3.01,28.52
2022-03-17,46.19,45.58,48.62,45.34,69631,327981408.00,7.02,-2.42,-1.13,24.47
2022-03-18,45.28,46.24,47.03,44.03,48708,223879026.00,6.58,1.45,0.66,17.12
2022-03-21,46.13,47.24,47.58,45.98,42010,197413007.00,3.46,2.16,1.00,14.77
2022-03-22,47.07,45.44,47.13,44.86,39009,179210510.00,4.81,-3.81,-1.80,13.71
2022-03-23,46.33,45.32,46.76,45.23,35299,162921140.00,3.37,-0.26,-0.12,12.41
2022-03-24,44.47,43.89,44.83,43.54,34596,152930170.00,2.85,-3.16,-1.43,12.16
2022-03-25,44.14,42.56,44.27,42.40,26873,116173691.00,4.26,-3.03,-1.33,9.45
2022-03-28,42.54,41.46,42.69,41.39,24414,102832969.00,3.05,-2.58,-1.10,8.58
2022-03-29,41.87,40.21,42.09,39.94,28615,117830243.00,5.19,-3.01,-1.25,10.06
2022-03-30,40.71,40.91,41.33,39.96,23457,95917568.00,3.41,1.74,0.70,8.24
2022-03-31,40.50,39.83,40.75,39.69,25587,103135784.00,2.59,-2.64,-1.08,8.99
2022-04-01,39.33,39.05,39.68,38.92,18592,73272259.00,1.91,-1.96,-0.78,6.53
2022-04-06,38.84,39.29,39.44,38.33,17542,68549315.00,2.84,0.61,0.24,6.17
2022-04-07,38.93,37.75,38.95,37.50,22309,85567557.00,3.69,-3.92,-1.54,7.84
2022-04-08,37.68,36.43,37.93,36.19,21635,80154341.00,4.61,-3.50,-1.32,7.60
2022-04-11,36.13,34.61,36.13,34.04,21059,74295077.00,5.74,-5.00,-1.82,7.40
2022-04-12,34.75,34.67,34.78,33.41,14686,50653292.00,3.96,0.17,0.06,5.16
2022-04-13,34.61,33.33,34.61,33.29,13227,44876577.00,3.81,-3.87,-1.34,4.65
2022-04-14,33.55,33.73,34.03,33.55,12567,42687846.00,1.44,1.20,0.40,4.42
2022-04-15,33.61,32.83,33.69,32.35,16733,55109726.00,3.97,-2.67,-0.90,5.88
2022-04-18,32.88,34.29,34.38,32.33,22594,76704493.00,6.24,4.45,1.46,7.94
2022-04-19,34.00,34.00,35.13,33.79,18717,64711232.00,3.91,-0.85,-0.29,6.58
2022-04-20,33.98,33.44,34.28,33.01,13964,47147988.00,3.74,-1.65,-0.56,4.91
2022-04-21,33.09,31.63,33.71,31.43,16908,55167391.00,6.82,-5.41,-1.81,5.94
2022-04-22,31.31,31.79,32.28,31.06,11019,35204950.00,3.86,0.51,0.16,3.87
2022-04-25,31.21,28.50,31.21,28.50,20145,60430969.00,8.52,-10.35,-3.29,7.08
2022-04-26,28.58,26.55,28.98,26.50,22058,61410261.00,8.70,-6.84,-1.95,7.75
2022-04-27,26.30,27.90,28.07,25.83,20044,54513863.00,8.44,5.08,1.35,7.05
2022-04-28,27.81,27.11,28.33,26.98,18480,51247771.00,4.84,-2.83,-0.79,6.50
2022-04-29,27.69,28.37,28.53,27.23,18756,52855743.00,4.80,4.65,1.26,6.59
2022-05-05,28.62,28.84,29.39,28.02,17172,49821883.00,4.83,1.66,0.47,6.04
2022-05-06,28.23,28.77,29.08,28.03,13726,39672160.00,3.64,-0.24,-0.07,4.82
2022-05-09,28.61,29.83,30.13,28.61,15622,46530744.00,5.28,3.68,1.06,5.49
2022-05-10,29.23,31.03,31.15,28.93,24854,76440621.00,7.44,4.02,1.20,8.74
2022-05-11,30.83,30.91,32.33,30.63,27886,88293938.00,5.48,-0.39,-0.12,9.80
2022-05-12,30.82,31.08,31.43,30.64,17567,54796739.00,2.56,0.55,0.17,6.17
2022-05-13,31.08,30.96,31.53,30.73,11495,35879454.00,2.57,-0.39,-0.12,4.04
2022-05-16,31.83,33.12,36.60,31.83,46957,161592586.00,15.41,6.98,2.16,16.50
2022-05-17,32.83,33.50,34.83,31.53,52018,172293992.00,9.96,1.15,0.38,18.28
2022-05-18,34.01,32.56,34.01,31.95,29434,97141008.00,6.15,-2.81,-0.94,10.35
2022-05-19,32.56,34.93,36.53,32.56,63835,221684093.00,12.19,7.28,2.37,22.44
2022-05-20,34.62,34.88,35.38,34.21,40155,140212465.00,3.35,-0.14,-0.05,14.11
2022-05-23,34.60,34.58,34.88,33.91,26466,91286942.00,2.78,-0.86,-0.30,9.30
2022-05-24,34.70,32.23,34.72,32.15,27799,93151382.00,7.43,-6.80,-2.35,9.77
2022-05-25,32.14,32.78,32.97,31.92,19144,62464536.00,3.26,1.71,0.55,6.73
2022-05-26,33.03,32.44,33.35,31.98,14527,47399155.00,4.18,-1.04,-0.34,5.11
2022-05-27,32.84,32.25,33.49,31.71,14236,46496343.00,5.49,-0.59,-0.19,5.00
2022-05-30,32.33,32.94,33.16,31.73,16861,55174179.00,4.43,2.14,0.69,5.93
2022-05-31,33.51,34.40,35.23,33.51,41562,142983252.00,5.22,4.43,1.46,14.61
2022-06-01,33.16,34.00,34.70,33.16,23732,81467720.00,4.48,-1.16,-0.40,8.34
2022-06-02,34.33,34.53,34.78,33.83,17640,60849665.00,2.79,1.56,0.53,6.20
2022-06-06,34.53,35.91,36.13,34.43,32467,115697253.00,4.92,4.00,1.38,11.41
2022-06-07,36.99,36.38,38.41,35.40,56315,208299264.00,8.38,1.31,0.47,19.79
2022-06-08,35.43,34.73,36.28,34.08,36718,128966656.00,6.05,-4.54,-1.65,12.91
2022-06-09,34.29,33.20,34.70,32.93,24790,83841701.00,5.10,-4.41,-1.53,8.71
2022-06-10,33.33,34.02,34.60,32.99,21492,73531308.00,4.85,2.47,0.82,7.55
2022-06-13,33.31,34.42,35.33,33.31,30145,103843175.00,5.94,1.18,0.40,10.05
2022-06-14,34.03,33.22,34.42,32.58,21591,72119693.00,5.35,-3.49,-1.20,7.20
2022-06-15,33.47,32.44,34.13,32.43,20300,67411585.00,5.12,-2.35,-0.78,6.77
2022-06-16,32.71,33.49,34.11,32.24,26062,87780738.00,5.76,3.24,1.05,8.69
2022-06-17,33.06,34.58,35.18,33.06,28184,97754127.00,6.33,3.25,1.09,9.39
2022-06-20,34.68,36.68,37.21,34.48,48185,176269172.00,7.89,6.07,2.10,16.06
2022-06-21,37.33,36.38,37.48,35.73,38069,139230161.00,4.77,-0.82,-0.30,12.69
2022-06-22,36.55,37.25,38.82,35.93,61466,233364045.00,7.94,2.39,0.87,20.49
2022-06-23,37.10,38.01,38.09,36.32,43609,163497300.00,4.75,2.04,0.76,14.54
2022-06-24,37.83,39.94,40.73,37.61,61803,246631358.00,8.21,5.08,1.93,20.60
2022-06-27,40.33,44.01,44.42,38.76,98997,414036512.00,14.17,10.19,4.07,33.00
2022-06-28,43.55,46.14,47.82,43.55,102726,473109920.00,9.70,4.84,2.13,34.24
2022-06-29,46.83,46.61,48.34,45.43,68879,321878704.00,6.31,1.02,0.47,22.96
2022-06-30,45.25,44.91,47.11,44.19,55993,254615452.00,6.26,-3.65,-1.70,18.66
2022-07-01,46.16,46.75,48.01,45.84,49933,235285962.00,4.83,4.10,1.84,16.64
2022-07-04,44.97,45.63,46.58,44.74,40646,185786404.00,3.94,-2.40,-1.12,13.55
2022-07-05,44.75,44.64,46.03,43.80,34487,153676297.00,4.89,-2.17,-0.99,11.50
2022-07-06,44.35,45.92,48.54,44.35,45049,211563190.00,9.39,2.87,1.28,15.02
2022-07-07,45.53,49.00,50.71,44.14,59609,286022656.00,14.31,6.71,3.08,19.87
2022-07-08,48.40,46.15,49.90,45.95,41665,197761550.00,8.06,-5.82,-2.85,13.89
2022-07-11,46.15,47.90,49.36,45.96,36511,174874841.00,7.37,3.79,1.75,12.17
2022-07-12,47.85,49.75,51.67,46.71,52093,261176851.00,10.35,3.86,1.85,17.36
2022-07-13,49.60,57.50,59.72,49.56,91447,520920611.00,20.42,15.58,7.75,30.48
2022-07-14,56.30,58.40,59.00,55.40,65994,376965593.00,6.26,1.57,0.90,22.00
2022-07-15,56.90,55.87,57.82,55.56,35596,200885273.00,3.87,-4.33,-2.53,11.87
2022-07-18,55.29,56.08,56.50,53.91,28182,156409761.00,4.64,0.38,0.21,9.39
2022-07-19,55.13,55.00,55.58,52.90,35291,191591659.00,4.78,-1.93,-1.08,11.76
2022-07-20,54.25,56.66,57.89,53.60,39877,223820721.00,7.80,3.02,1.66,13.29
2022-07-21,56.78,53.08,56.88,52.61,28278,154596219.00,7.54,-6.32,-3.58,9.43
2022-07-22,53.54,53.50,54.73,52.70,18099,97146051.00,3.82,0.79,0.42,6.03
2022-07-25,53.10,52.20,54.69,50.51,40241,209945436.00,7.81,-2.43,-1.30,13.41
2022-07-26,51.80,52.99,54.09,50.20,29391,154539438.00,7.45,1.51,0.79,9.80
2022-07-27,52.90,56.95,57.80,52.70,31613,177946830.00,9.62,7.47,3.96,10.54
2022-07-28,57.13,56.97,59.90,55.91,29593,172200696.00,7.01,0.04,0.02,9.86
2022-07-29,57.70,57.89,59.80,55.57,29170,169270495.00,7.42,1.61,0.92,9.72
2022-08-01,57.88,60.28,61.90,56.40,22767,134607576.00,9.50,4.13,2.39,7.59
2022-08-02,58.90,60.90,62.50,55.90,27833,164808787.00,10.95,1.03,0.62,9.28
2022-08-03,60.29,61.30,63.90,59.18,28820,179696783.00,7.75,0.66,0.40,9.61
2022-08-04,61.70,60.15,65.24,59.80,24636,152771293.00,8.87,-1.88,-1.15,8.21
2022-08-05,59.36,57.78,60.59,56.78,29169,170552040.00,6.33,-3.94,-2.37,9.72
2022-08-08,58.56,62.53,63.09,56.78,22528,137130937.00,10.92,8.22,4.75,7.51
2022-08-09,62.43,65.99,68.35,62.43,26285,174384050.00,9.47,5.53,3.46,8.76
2022-08-10,65.53,67.06,68.88,64.11,20507,136188334.00,7.23,1.62,1.07,6.84
2022-08-11,67.18,65.40,67.90,65.05,14514,95358728.00,4.25,-2.48,-1.66,4.84
2022-08-12,65.12,63.70,67.27,63.27,10425,67818729.00,6.12,-2.60,-1.70,3.48
2022-08-15,63.05,71.58,73.90,62.90,30808,212561748.00,17.27,12.37,7.88,10.27
2022-08-16,72.90,71.50,73.65,70.10,18123,130691228.00,4.96,-0.11,-0.08,6.04
2022-08-17,71.51,70.45,74.82,68.90,24578,176860016.00,8.28,-1.47,-1.05,8.19
2022-08-18,70.44,71.80,72.90,69.52,18795,133682021.00,4.80,1.92,1.35,6.27
2022-08-19,70.98,72.10,74.46,68.90,19318,138088848.00,7.74,0.42,0.30,6.44
2022-08-22,72.24,72.33,74.78,70.89,18231,132800819.00,5.40,0.32,0.23,6.08
2022-08-23,72.34,75.03,75.51,70.89,22561,166212402.00,6.39,3.73,2.70,7.52
2022-08-24,74.90,69.70,76.25,67.70,23992,174702298.00,11.40,-7.10,-5.33,8.00
2022-08-25,69.90,71.15,71.15,63.90,34244,229705679.00,10.40,2.08,1.45,11.41
2022-08-26,68.60,67.50,70.88,65.41,26321,177293538.00,7.69,-5.13,-3.65,8.77
2022-08-29,66.33,73.38,75.98,65.89,24664,178378563.00,14.95,8.71,5.88,8.22
2022-08-30,72.41,70.43,74.10,69.93,16362,117391846.00,5.68,-4.02,-2.95,5.45
2022-08-31,70.47,60.21,70.50,59.56,36122,229284042.00,15.53,-14.51,-10.22,12.04
2022-09-01,59.15,60.01,64.13,59.15,25259,154337513.00,8.27,-0.33,-0.20,8.42
2022-09-02,60.55,57.76,62.19,57.40,21037,124122665.00,7.98,-3.75,-2.25,7.01
2022-09-05,58.77,61.90,62.36,57.04,25249,153429979.00,9.21,7.17,4.14,8.42
2022-09-06,62.24,64.28,65.08,59.50,23165,145051676.00,9.01,3.84,2.38,7.72
2022-09-07,64.09,64.66,67.56,62.93,17185,112893582.00,7.20,0.59,0.38,5.73
2022-09-08,65.57,62.21,65.80,61.80,15974,101311513.00,6.19,-3.79,-2.45,5.32
2022-09-09,62.30,60.13,63.39,57.49,23804,141748421.00,9.48,-3.34,-2.08,7.93
2022-09-13,60.19,60.43,62.29,58.50,16133,97387573.00,6.30,0.50,0.30,5.38
2022-09-14,59.29,58.76,61.18,56.70,22529,131158788.00,7.41,-2.76,-1.67,7.51
2022-09-15,58.78,55.40,59.40,54.71,24880,139978712.00,7.98,-5.72,-3.36,8.29
2022-09-16,55.39,54.94,56.70,54.46,12449,68979308.00,4.04,-0.83,-0.46,4.15
2022-09-19,54.51,53.25,56.74,52.90,14456,78533366.00,6.99,-3.08,-1.69,4.82
2022-09-20,53.49,55.15,56.63,53.49,14540,80538155.00,5.90,3.57,1.90,4.85
2022-09-21,55.11,52.90,56.42,52.42,17957,96675345.00,7.25,-4.08,-2.25,5.99
2022-09-22,52.17,52.54,54.35,51.18,17076,90455999.00,5.99,-0.68,-0.36,5.69
2022-09-23,52.51,50.80,53.48,49.91,13774,70838298.00,6.79,-3.31,-1.74,4.59
2022-09-26,49.92,52.73,54.20,49.92,18113,96241445.00,8.43,3.80,1.93,6.04
2022-09-27,52.70,52.28,54.39,51.33,12229,64204642.00,5.80,-0.85,-0.45,4.08
2022-09-28,52.01,50.63,53.40,49.90,11802,60299144.00,6.69,-3.16,-1.65,3.93
2022-09-29,50.64,53.65,53.85,49.10,17607,92122965.00,9.38,5.96,3.02,5.87
2022-09-30,53.54,49.87,53.60,49.70,19755,100442583.00,7.27,-7.05,-3.78,6.59
2022-10-10,49.90,48.00,50.54,47.60,18324,89276250.00,5.90,-3.75,-1.87,6.11
2022-10-11,48.00,50.29,50.70,47.99,16968,84748366.00,5.65,4.77,2.29,5.66
2022-10-12,50.14,60.37,60.37,50.14,29978,165804419.00,20.34,20.04,10.08,9.99
2022-10-13,61.22,61.08,64.23,60.08,43786,271676655.00,6.87,1.18,0.71,14.60
2022-10-14,61.23,65.39,69.08,58.72,41133,260966292.00,16.96,7.06,4.31,13.71
2022-10-17,63.15,63.01,64.10,61.90,26721,168477278.00,3.36,-3.64,-2.38,8.91
2022-10-18,63.13,65.08,66.46,61.50,26579,171745612.00,7.87,3.29,2.07,8.86
2022-10-19,64.35,64.68,67.44,63.97,17767,115945344.00,5.33,-0.61,-0.40,5.92
2022-10-20,64.41,62.35,64.47,61.58,15490,97331220.00,4.47,-3.60,-2.33,5.16
2022-10-21,62.30,64.13,65.47,61.59,15989,102458658.00,6.22,2.85,1.78,5.33
2022-10-24,64.13,64.70,65.67,63.13,14814,95947193.00,3.96,0.89,0.57,4.94
2022-10-25,64.70,69.15,74.10,64.00,49602,345693727.00,15.61,6.88,4.45,16.53
2022-10-26,67.90,70.78,71.49,66.40,29878,206979093.00,7.36,2.36,1.63,9.96
2022-10-27,71.98,69.15,76.01,68.78,36285,259827461.00,10.21,-2.30,-1.63,12.09
2022-10-28,67.95,67.52,72.18,67.19,14969,103778253.00,7.22,-2.36,-1.63,4.99
2022-10-31,66.47,68.19,70.03,66.42,10770,73694172.00,5.35,0.99,0.67,3.59
2022-11-01,66.90,76.00,76.17,66.79,22070,161226022.00,13.76,11.45,7.81,7.36
2022-11-02,74.55,79.35,82.77,73.43,24535,191407930.00,12.29,4.41,3.35,8.18
2022-11-03,79.90,82.86,89.88,76.90,32764,276723194.00,16.36,4.42,3.51,10.92
2022-11-04,83.90,77.76,84.25,76.51,48170,382140771.00,9.34,-6.15,-5.10,16.06
2022-11-07,76.24,75.80,77.56,74.89,35144,268096170.00,3.43,-2.52,-1.96,11.71
2022-11-08,75.80,72.60,75.80,71.23,26293,190988622.00,6.03,-4.22,-3.20,8.76
2022-11-09,72.11,72.90,74.40,71.10,23390,170838957.00,4.55,0.41,0.30,7.80
2022-11-10,72.20,72.78,75.38,71.97,23754,175845793.00,4.68,-0.16,-0.12,7.92
2022-11-11,75.63,67.77,75.73,67.16,42711,299022848.00,11.78,-6.88,-5.01,14.24
2022-11-14,66.72,66.05,67.55,64.70,25545,168838455.00,4.21,-2.54,-1.72,8.51
2022-11-15,66.05,69.77,70.28,66.05,29352,202348684.00,6.40,5.63,3.72,9.78
2022-11-16,69.10,67.70,70.90,67.20,18210,125891665.00,5.30,-2.97,-2.07,6.07
2022-11-17,67.13,66.90,67.86,65.90,11609,77496080.00,2.90,-1.18,-0.80,3.87
2022-11-18,66.42,69.00,71.20,64.70,26024,179916607.00,9.72,3.14,2.10,8.67
2022-11-21,69.28,72.56,73.90,68.60,24795,178150166.00,7.68,5.16,3.56,8.27
2022-11-22,71.72,69.10,72.35,68.92,13872,97365410.00,4.73,-4.77,-3.46,4.62
2022-11-23,69.10,79.30,80.01,66.92,37612,279097435.00,18.94,14.76,10.20,12.54
2022-11-24,78.11,77.69,79.70,76.98,26036,203632511.00,3.43,-2.03,-1.61,8.68
2022-11-25,76.91,75.00,77.90,71.90,24973,185685507.00,7.72,-3.46,-2.69,8.32
2022-11-28,73.40,78.41,78.75,72.78,24403,188845229.00,7.96,4.55,3.41,8.13
2022-11-29,76.90,78.61,78.89,73.94,27910,211777738.00,6.31,0.26,0.20,9.30
2022-11-30,76.70,75.08,77.78,74.72,16789,127881016.00,3.89,-4.49,-3.53,5.60
2022-12-01,74.96,76.50,78.40,74.50,21369,163532999.00,5.19,1.89,1.42,7.12
2022-12-02,76.50,78.06,82.90,75.90,22159,177277083.00,9.15,2.04,1.56,7.39
2022-12-05,76.70,73.16,76.89,72.42,21004,155745744.00,5.73,-6.28,-4.90,7.00
2022-12-06,72.71,73.18,74.37,69.40,17788,127868598.00,6.79,0.03,0.02,5.93
2022-12-07,71.91,70.05,72.91,69.30,17320,122807751.00,4.93,-4.28,-3.13,5.77
2022-12-08,69.70,70.91,74.40,68.95,16941,122556950.00,7.78,1.23,0.86,5.65
2022-12-09,70.91,67.20,71.65,66.99,22277,153716376.00,6.57,-5.23,-3.71,7.43
2022-12-12,66.91,68.90,69.47,66.59,17241,117834408.00,4.29,2.53,1.70,3.47
