日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-07-28,49.67,47.88,66.33,46.34,52448,422392992.00,62.45,49.58,15.87,49.48
2021-07-30,39.67,36.81,39.67,36.42,34126,193397832.00,8.00,-9.40,-3.82,32.19
2021-08-02,35.71,37.00,38.01,35.35,22544,126057380.00,7.23,0.52,0.19,21.27
2021-08-03,36.43,36.49,38.07,36.10,19803,110470294.00,5.32,-1.38,-0.51,18.68
2021-08-04,36.00,35.86,36.77,35.53,17190,93692316.00,3.40,-1.73,-0.63,16.22
2021-08-05,35.73,34.57,35.91,34.55,16579,88137838.00,3.79,-3.60,-1.29,15.64
2021-08-06,34.65,33.31,34.78,32.95,17220,87496237.00,5.29,-3.64,-1.26,16.25
2021-08-09,33.31,33.80,34.12,33.02,10731,54637299.00,3.30,1.47,0.49,10.12
2021-08-10,33.67,33.79,34.00,33.42,10716,54794356.00,1.72,-0.03,-0.01,10.11
2021-08-11,33.63,35.10,35.47,33.51,20492,107706500.00,5.80,3.88,1.31,19.33
2021-08-12,34.82,34.17,34.83,34.03,12009,62316949.00,2.28,-2.65,-0.93,11.33
2021-08-13,34.13,34.09,34.50,33.85,8608,44581078.00,1.90,-0.23,-0.08,8.12
2021-08-16,34.21,35.11,35.49,34.21,12977,68897709.00,3.75,2.99,1.02,12.24
2021-08-17,35.00,35.54,36.32,34.70,17997,97266488.00,4.61,1.22,0.43,16.98
2021-08-18,35.33,38.92,39.86,35.00,30324,172347977.00,13.67,9.51,3.38,28.61
2021-08-19,38.00,35.94,38.03,35.92,20579,114468408.00,5.42,-7.66,-2.98,19.41
2021-08-20,35.74,33.98,35.81,33.81,14536,76093126.00,5.56,-5.45,-1.96,13.71
2021-08-23,33.76,34.61,34.68,33.76,6482,33808531.00,2.71,1.85,0.63,6.11
2021-08-24,34.34,34.60,34.68,34.33,6970,36398250.00,1.01,-0.03,-0.01,6.58
2021-08-25,34.64,34.48,34.64,34.16,6066,31605573.00,1.39,-0.35,-0.12,5.72
2021-08-27,33.77,33.36,33.80,33.29,5377,27235650.00,1.51,-0.98,-0.33,5.07
2021-08-30,33.40,32.53,33.66,32.44,7618,38103447.00,3.66,-2.49,-0.83,7.19
2021-08-31,32.43,32.65,32.99,32.43,5114,25314093.00,1.72,0.37,0.12,4.82
2021-09-01,32.79,33.68,33.89,32.47,7199,36229413.00,4.35,3.15,1.03,6.79
2021-09-02,33.59,33.90,34.25,33.47,6909,35402009.00,2.32,0.65,0.22,6.52
2021-09-03,33.87,33.39,33.95,33.29,7429,37681222.00,1.95,-1.50,-0.51,7.01
2021-09-06,33.27,33.68,33.75,33.10,4913,24902979.00,1.95,0.87,0.29,4.63
2021-09-07,33.63,33.57,33.88,33.48,4385,22339099.00,1.19,-0.33,-0.11,4.14
2021-09-08,33.99,33.57,33.99,33.34,5425,27602688.00,1.94,0.00,0.00,5.12
2021-09-09,33.73,33.27,33.77,33.21,5203,26297716.00,1.67,-0.89,-0.30,4.91
2021-09-10,33.54,33.17,33.54,33.11,3085,15523870.00,1.29,-0.30,-0.10,2.91
2021-09-13,33.17,32.82,33.27,32.73,4873,24299312.00,1.63,-1.06,-0.35,4.60
2021-09-14,32.99,32.73,33.04,32.67,3228,16065365.00,1.13,-0.27,-0.09,3.05
2021-09-15,32.73,33.02,33.11,32.63,3243,16171703.00,1.47,0.89,0.29,3.06
2021-09-16,32.99,32.71,33.11,32.63,4376,21785354.00,1.45,-0.94,-0.31,4.13
2021-09-17,32.75,32.33,32.86,32.09,4320,21164504.00,2.35,-1.16,-0.38,4.08
2021-09-22,32.20,31.99,32.20,31.91,3520,17086696.00,0.90,-1.05,-0.34,3.32
2021-09-23,31.99,32.12,32.35,31.99,2974,14500014.00,1.13,0.41,0.13,2.81
2021-09-24,32.12,31.67,32.31,31.58,3868,18702024.00,2.27,-1.40,-0.45,3.65
2021-09-28,30.44,30.35,30.65,30.20,2530,11645530.00,1.48,-0.07,-0.02,2.39
2021-09-29,30.34,29.17,30.34,29.01,4188,18847434.00,4.38,-3.89,-1.18,3.95
2021-09-30,29.43,29.48,29.66,29.20,2347,10492827.00,1.58,1.06,0.31,2.21
2021-10-08,29.48,30.11,30.26,29.48,2562,11654634.00,2.65,2.14,0.63,2.42
2021-10-11,29.99,30.25,30.33,29.82,1857,8499445.00,1.69,0.46,0.14,1.75
2021-10-12,30.32,29.97,30.32,29.67,1966,8927358.00,2.15,-0.93,-0.28,1.86
2021-10-13,30.00,30.95,31.19,29.91,4153,19330449.00,4.27,3.27,0.98,3.92
2021-10-14,30.88,30.71,31.15,30.64,2433,11360001.00,1.65,-0.78,-0.24,2.30
2021-10-15,30.99,30.28,30.99,30.27,2000,9231123.00,2.34,-1.40,-0.43,1.89
2021-10-18,30.37,30.23,30.45,30.10,1010,4632152.00,1.16,-0.17,-0.05,0.95
2021-10-19,30.33,30.20,30.52,30.14,1333,6121657.00,1.26,-0.10,-0.03,1.26
2021-10-20,30.23,29.75,30.23,29.53,2334,10547337.00,2.32,-1.49,-0.45,2.20
2021-10-21,29.75,29.79,29.83,29.43,2178,9793631.00,1.34,0.13,0.04,2.05
2021-10-22,29.92,29.59,29.94,29.47,2013,9079822.00,1.58,-0.67,-0.20,1.90
2021-10-25,29.33,29.35,29.67,29.15,1892,8402154.00,1.76,-0.81,-0.24,1.78
2021-10-26,29.01,28.95,29.21,28.53,3524,15434615.00,2.32,-1.36,-0.40,3.32
2021-10-27,28.95,28.25,29.00,28.18,2941,12703519.00,2.83,-2.42,-0.70,2.77
2021-10-28,28.07,27.21,28.27,27.13,3005,12502050.00,4.04,-3.68,-1.04,2.83
2021-10-29,27.34,27.80,28.33,27.21,2685,11332392.00,4.12,2.17,0.59,2.53
2021-11-02,27.95,27.27,28.16,27.20,1974,8295391.00,3.44,-2.29,-0.64,1.86
2021-11-03,27.59,27.64,27.65,27.29,1549,6466099.00,1.32,1.36,0.37,1.46
2021-11-04,27.69,27.98,28.04,27.68,1749,7413013.00,1.30,1.23,0.34,1.65
2021-11-05,28.03,28.51,28.65,27.94,3492,14981951.00,2.54,1.89,0.53,3.29
2021-11-08,28.45,28.53,28.72,28.37,2354,10199906.00,1.23,0.07,0.02,2.22
2021-11-09,28.51,29.39,29.40,28.46,3957,17421508.00,3.29,3.01,0.86,3.73
2021-11-10,29.11,29.42,29.43,29.01,3092,13716220.00,1.43,0.10,0.03,2.92
2021-11-11,29.42,29.94,30.23,29.42,3941,17914382.00,2.75,1.77,0.52,3.72
2021-11-12,29.93,30.45,30.67,29.49,4712,21534512.00,3.94,1.70,0.51,4.45
2021-11-15,30.46,31.97,32.00,30.44,10383,49663733.00,5.12,4.99,1.52,9.79
2021-11-16,31.85,30.65,31.87,30.65,7123,33566715.00,3.82,-4.13,-1.32,6.72
2021-11-17,30.67,30.92,30.99,30.33,3208,14979884.00,2.15,0.88,0.27,3.03
2021-11-18,30.87,30.07,31.10,30.07,3776,17434906.00,3.33,-2.75,-0.85,3.56
2021-11-19,29.93,30.70,30.77,29.90,3065,14174575.00,2.89,2.10,0.63,2.89
2021-11-22,30.59,30.81,30.92,30.33,2337,10874661.00,1.92,0.36,0.11,2.20
2021-11-23,30.67,31.23,31.23,30.67,3633,17100630.00,1.82,1.36,0.42,3.43
2021-11-24,31.34,31.98,32.00,31.03,6077,29127244.00,3.11,2.40,0.75,5.73
2021-11-25,32.18,31.83,32.23,31.47,5571,26888971.00,2.38,-0.47,-0.15,5.26
2021-11-26,31.81,31.76,32.06,31.53,2928,14078371.00,1.67,-0.22,-0.07,2.76
2021-11-30,31.67,31.65,31.99,31.20,2961,14247155.00,2.51,0.38,0.12,2.79
2021-12-01,31.83,32.00,32.07,31.35,4214,20383900.00,2.27,1.11,0.35,3.98
2021-12-02,32.17,31.01,32.17,31.01,4596,22019504.00,3.63,-3.09,-0.99,4.34
2021-12-03,30.99,31.37,31.72,30.99,2802,13318305.00,2.35,1.16,0.36,2.64
2021-12-06,31.25,30.10,31.50,30.05,4325,20067034.00,4.62,-4.05,-1.27,4.08
2021-12-07,30.25,30.36,30.86,30.07,2819,13008454.00,2.62,0.86,0.26,2.66
2021-12-08,30.45,30.34,30.63,30.11,2046,9439355.00,1.71,-0.07,-0.02,1.93
2021-12-09,30.33,30.76,30.99,30.25,2283,10637470.00,2.44,1.38,0.42,2.15
2021-12-10,31.00,31.15,31.17,30.57,2541,11938601.00,1.95,1.27,0.39,2.40
2021-12-13,31.43,32.37,34.33,31.18,12220,60573410.00,10.11,3.92,1.22,11.53
2021-12-14,32.13,32.15,32.73,31.80,8311,40515486.00,2.87,-0.68,-0.22,7.84
2021-12-15,32.52,33.03,33.34,31.87,9529,47385721.00,4.57,2.74,0.88,8.99
2021-12-16,33.03,33.93,33.93,32.69,13170,66895954.00,3.75,2.72,0.90,12.42
2021-12-17,33.91,32.32,33.91,32.25,10690,52915286.00,4.89,-4.75,-1.61,10.08
2021-12-20,32.39,31.85,32.61,31.80,4172,20333280.00,2.51,-1.45,-0.47,3.94
2021-12-21,31.93,33.05,33.05,31.93,6331,31313693.00,3.52,3.77,1.20,5.97
2021-12-22,33.06,32.63,33.83,32.57,6925,34617247.00,3.81,-1.27,-0.42,6.53
2021-12-23,32.57,31.89,32.84,31.87,5802,28303355.00,2.97,-2.27,-0.74,5.47
2021-12-24,32.09,30.73,32.09,30.67,5316,25076669.00,4.45,-3.64,-1.16,5.02
2021-12-28,30.75,30.83,30.97,30.75,2013,9419587.00,0.71,-0.13,-0.04,1.90
2021-12-29,30.74,30.87,31.07,30.47,1929,9021881.00,1.95,0.13,0.04,1.82
2021-12-30,30.79,30.98,31.40,30.69,2222,10501499.00,2.30,0.36,0.11,2.10
2021-12-31,30.99,32.07,32.08,30.93,4909,23639957.00,3.71,3.52,1.09,4.63
2022-01-04,32.07,32.35,32.35,31.77,4051,19738822.00,1.81,0.87,0.28,3.82
2022-01-05,32.27,31.60,32.27,31.32,4110,19742627.00,2.94,-2.32,-0.75,3.88
2022-01-06,31.47,33.13,33.17,31.37,11135,55353357.00,5.70,4.84,1.53,10.51
2022-01-07,32.85,32.21,33.03,32.07,6233,30785650.00,2.90,-2.78,-0.92,5.88
2022-01-10,31.92,32.96,33.41,31.92,6271,31216360.00,4.63,2.33,0.75,5.92
2022-01-11,33.05,32.57,33.44,32.47,5448,27142389.00,2.94,-1.18,-0.39,5.14
2022-01-12,32.77,32.83,33.08,32.43,3614,17959946.00,2.00,0.80,0.26,3.41
2022-01-13,33.24,32.38,33.33,32.25,4241,20914924.00,3.29,-1.37,-0.45,4.00
2022-01-14,32.40,31.57,32.82,31.55,4484,21778855.00,3.92,-2.50,-0.81,4.23
2022-01-17,31.50,32.85,33.13,31.42,6960,34466689.00,5.42,4.05,1.28,6.57
2022-01-18,32.83,32.01,32.99,31.99,5436,26586530.00,3.04,-2.56,-0.84,5.13
2022-01-19,31.87,32.95,33.11,31.78,8219,40775497.00,4.15,2.94,0.94,7.75
2022-01-20,32.79,31.40,32.89,31.14,8670,41746658.00,5.31,-4.70,-1.55,8.18
2022-01-21,31.37,31.29,31.65,30.93,2821,13352000.00,2.29,-0.35,-0.11,2.66
2022-01-24,31.00,30.73,31.27,30.55,2832,13260389.00,2.30,-1.79,-0.56,2.67
2022-01-26,29.65,30.35,30.51,29.65,2918,13332152.00,2.92,2.92,0.86,2.75
2022-01-27,30.47,29.63,30.57,29.41,2371,10735929.00,3.82,-2.37,-0.72,2.24
2022-01-28,29.64,29.74,30.11,29.57,2064,9350642.00,1.82,0.37,0.11,1.95
2022-02-07,30.04,31.27,31.55,29.89,6622,31108825.00,5.58,5.14,1.53,6.25
2022-02-08,31.40,32.97,33.33,31.08,16231,80164327.00,7.20,5.44,1.70,15.31
2022-02-09,33.00,34.32,36.27,32.95,25670,134747740.00,10.07,4.09,1.35,24.22
2022-02-10,33.93,34.80,35.22,33.40,21567,112569782.00,5.30,1.40,0.48,20.35
2022-02-11,36.55,34.47,36.67,34.40,24880,133955708.00,6.52,-0.95,-0.33,23.47
2022-02-14,33.21,34.91,35.40,33.21,17036,88926069.00,6.35,1.28,0.44,16.07
2022-02-15,34.40,33.99,35.00,33.39,12061,62295787.00,4.61,-2.64,-0.92,11.38
2022-02-16,34.04,36.59,36.60,34.04,26570,143666236.00,7.53,7.65,2.60,25.07
2022-02-17,36.67,34.75,36.67,34.47,20522,109481557.00,6.01,-5.03,-1.84,19.36
2022-02-18,34.31,34.85,34.99,33.59,12695,66170689.00,4.03,0.29,0.10,11.98
2022-02-21,34.49,34.77,35.66,34.07,12405,65784472.00,4.56,-0.23,-0.08,11.70
2022-02-22,34.33,34.23,34.95,33.67,9925,51419911.00,3.68,-1.55,-0.54,9.36
2022-02-23,34.17,33.57,34.34,33.10,9739,49524087.00,3.62,-1.93,-0.66,9.19
2022-02-24,33.33,31.84,33.85,31.47,14991,74043129.00,7.09,-5.15,-1.73,14.14
2022-02-25,32.54,32.01,33.40,31.79,8732,43107840.00,5.06,0.53,0.17,8.24
2022-02-28,32.33,31.73,32.33,30.95,5488,26236985.00,4.31,-0.87,-0.28,5.18
2022-03-02,31.81,31.64,31.95,31.53,4725,22708206.00,1.32,-0.82,-0.26,4.46
2022-03-03,31.67,31.33,31.87,31.13,4881,23275004.00,2.34,-0.98,-0.31,4.60
2022-03-04,31.28,30.81,31.53,30.77,4803,22608224.00,2.43,-1.66,-0.52,4.53
2022-03-07,30.84,30.59,31.13,30.40,4133,19294864.00,2.37,-0.71,-0.22,3.90
2022-03-08,30.65,29.57,31.00,29.47,5488,24937085.00,5.00,-3.33,-1.02,5.18
2022-03-09,29.51,30.00,30.10,28.74,5633,25294130.00,4.60,1.45,0.43,5.31
2022-03-10,30.23,30.03,30.52,29.90,4666,21390869.00,2.07,0.10,0.03,4.40
2022-03-11,29.60,29.63,29.70,28.85,4952,21960063.00,2.83,-1.33,-0.40,4.67
2022-03-14,29.36,28.81,29.53,28.81,3725,16486087.00,2.43,-2.77,-0.82,3.51
2022-03-15,28.77,28.20,29.65,28.17,6113,26772688.00,5.14,-2.12,-0.61,5.77
2022-03-16,28.49,28.49,28.85,27.80,4768,20588116.00,3.72,1.03,0.29,4.50
2022-03-17,28.85,28.92,29.26,28.63,5643,24825897.00,2.21,1.51,0.43,5.32
2022-03-18,30.20,34.77,34.77,30.09,32894,168276244.00,16.18,20.23,5.85,31.03
2022-03-21,37.67,35.72,39.53,35.00,54049,301927952.00,13.03,2.73,0.95,50.99
2022-03-22,35.22,36.68,39.63,35.22,46072,259603996.00,12.35,2.69,0.96,43.46
2022-03-23,35.10,33.00,35.87,33.00,36958,190154477.00,7.82,-10.03,-3.68,34.87
2022-03-24,32.97,33.49,33.77,32.49,22763,114474659.00,3.88,1.48,0.49,21.47
2022-03-25,33.41,31.53,33.47,31.53,19821,97038904.00,5.79,-5.85,-1.96,18.70
2022-03-28,31.33,31.14,31.49,30.41,11795,55418062.00,3.43,-1.24,-0.39,11.13
2022-03-29,31.15,30.20,31.48,29.97,10768,49743019.00,4.85,-3.02,-0.94,10.16
2022-03-31,31.72,32.57,33.00,31.47,22097,108402533.00,4.83,2.81,0.89,20.85
2022-04-01,32.08,30.67,32.15,30.55,14588,68838825.00,4.91,-5.83,-1.90,13.76
2022-04-06,30.31,31.25,31.53,30.07,9051,42701988.00,4.76,1.89,0.58,8.54
2022-04-07,31.33,30.85,32.22,30.68,10291,48695470.00,4.93,-1.28,-0.40,9.71
2022-04-08,30.79,32.93,32.93,30.79,25085,122345258.00,6.94,6.74,2.08,23.67
2022-04-11,32.66,33.37,34.44,31.81,27156,136382195.00,7.99,1.34,0.44,25.62
2022-04-12,33.00,32.85,33.00,30.81,18883,91680779.00,6.56,-1.56,-0.52,17.81
2022-04-13,32.41,29.71,32.41,29.67,18631,85798423.00,8.34,-9.56,-3.14,17.58
2022-04-14,29.65,29.30,30.21,29.27,10838,48626786.00,3.16,-1.38,-0.41,10.22
2022-04-15,27.75,26.33,28.55,26.12,21570,87322060.00,8.29,-10.14,-2.97,20.35
2022-04-18,25.89,26.60,26.67,25.53,7323,29250114.00,4.33,1.03,0.27,6.91
2022-04-19,26.53,26.71,27.03,26.21,7555,30635481.00,3.08,0.41,0.11,7.13
2022-04-20,27.00,26.99,27.47,26.67,8319,34148968.00,3.00,1.05,0.28,7.85
2022-04-21,26.66,25.99,26.99,25.74,8402,33567534.00,4.63,-3.71,-1.00,7.93
2022-04-22,25.93,26.74,26.79,25.53,8003,32046162.00,4.85,2.89,0.75,7.55
2022-04-25,26.77,25.23,27.19,25.02,11801,47530768.00,8.12,-5.65,-1.51,11.13
2022-04-26,25.87,23.95,25.97,23.75,12121,46122590.00,8.80,-5.07,-1.28,11.43
2022-04-27,24.17,25.72,25.93,24.17,15412,58880781.00,7.35,7.39,1.77,14.54
2022-04-28,25.13,23.98,25.33,23.61,13148,48580131.00,6.69,-6.77,-1.74,12.40
2022-05-05,24.88,26.00,26.12,24.43,12766,49527893.00,6.73,3.54,0.89,12.04
2022-05-06,25.21,25.73,26.32,25.00,8943,35029621.00,5.08,-1.04,-0.27,8.44
2022-05-09,26.40,26.71,27.52,26.19,11403,46044400.00,5.17,3.81,0.98,10.76
2022-05-10,26.26,28.92,28.95,26.09,22188,94007957.00,10.71,8.27,2.21,20.93
2022-05-11,28.92,27.77,29.99,27.67,20462,88257662.00,8.02,-3.98,-1.15,19.30
2022-05-12,27.47,28.52,28.77,27.40,17468,74459514.00,4.93,2.70,0.75,16.48
2022-05-13,28.13,27.99,28.23,27.43,10511,44456556.00,2.81,-1.86,-0.53,9.92
