赛季,球队,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,比赛一览
11-12,洛杉矶湖人,45,56.5%,18,33,100.0%,5,11,100.0%,18,18,8,3,6,8,4,1,6,4,43,单季一览
10-11,洛杉矶湖人,42,61.5%,14,29,57.1%,4,9,100.0%,10,10,6,2,6,8,5,1,5,4,36,单季一览
09-10,洛杉矶湖人,45,68.2%,15,29,100.0%,6,11,100.0%,13,15,15,4,11,13,4,4,7,5,40,单季一览
08-09,洛杉矶湖人,49,66.7%,16,34,75.0%,4,10,100.0%,15,17,8,3,8,10,4,4,7,5,41,单季一览
07-08,洛杉矶湖人,47,66.7%,18,33,55.6%,5,10,100.0%,21,23,10,3,8,10,5,2,6,5,49,单季一览
06-07,洛杉矶湖人,46,57.7%,15,33,66.7%,4,8,100.0%,13,13,7,1,7,9,2,1,6,3,45,单季一览
05-06,洛杉矶湖人,52,64.3%,20,35,100.0%,5,8,87.5%,7,9,10,1,10,8,4,1,7,5,50,单季一览
03-04,洛杉矶湖人,50,57.1%,15,27,57.1%,4,8,100.0%,16,17,10,3,8,10,5,2,5,5,42,单季一览
02-03,洛杉矶湖人,50,57.1%,16,38,75.0%,5,11,100.0%,17,19,8,3,6,8,3,1,7,5,39,单季一览
01-02,洛杉矶湖人,52,60.9%,15,31,100.0%,4,9,100.0%,12,13,11,3,9,8,3,3,6,6,36,单季一览
00-01,洛杉矶湖人,52,72.7%,19,35,100.0%,2,4,100.0%,17,19,16,9,10,11,3,3,6,4,48,单季一览
99-00,洛杉矶湖人,48,61.1%,14,30,100.0%,6,9,100.0%,9,13,11,5,11,7,4,4,7,6,35,单季一览
98-99,洛杉矶湖人,47,55.6%,12,25,100.0%,2,5,100.0%,6,6,9,4,7,8,4,4,7,6,28,单季一览
97-98,洛杉矶湖人,36,100.0%,9,16,100.0%,1,5,100.0%,8,12,5,3,3,4,1,2,3,5,22,单季一览
96-97,洛杉矶湖人,29,100.0%,7,14,66.7%,3,6,100.0%,13,14,4,1,4,3,1,1,5,5,22,单季一览
