赛季,球队,出手距离,篮下命中率,命中,出手,占比,近距两分,命中,出手,占比,中距两分,命中,出手,占比,远距两分,命中,出手,占比,真实命中率,投篮效率
11-12,洛杉矶湖人,13.9,65.1%,3.4,5.2,20.9%,34.7%,1.4,4.1,16.3%,52.9%,2.2,4.2,16.9%,38.5%,2.5,6.5,25.9%,52.5%,46.7%
10-11,洛杉矶湖人,14.6,61.9%,1.3,2.1,11.3%,50.0%,1.9,3.8,20.4%,46.8%,2.2,4.7,25.3%,43.6%,1.7,3.9,21.0%,53.6%,47.8%
09-10,洛杉矶湖人,15.1,54.9%,2.0,3.6,16.0%,52.1%,1.7,3.2,14.3%,47.5%,2.1,4.4,19.8%,43.5%,2.3,5.4,24.3%,56.7%,50.6%
08-09,洛杉矶湖人,14.6,59.0%,2.6,4.4,18.9%,40.7%,1.0,2.4,10.2%,45.1%,2.0,4.4,19.2%,46.4%,3.4,7.3,31.7%,56.4%,49.2%
07-08,洛杉矶湖人,13.9,62.9%,3.1,5.0,22.7%,63.6%,1.7,2.6,11.9%,50.0%,1.8,3.6,16.4%,42.1%,2.4,5.8,26.1%,57.7%,51.4%
06-07,洛杉矶湖人,14.5,65.5%,3.8,5.8,22.3%,47.1%,1.6,3.4,13.1%,37.5%,1.2,3.2,12.3%,42.5%,3.4,8.0,30.8%,56.1%,50.0%
05-06,洛杉矶湖人,15.0,82.8%,3.4,4.1,20.0%,47.6%,1.4,3.0,14.5%,45.5%,0.7,1.6,7.6%,38.8%,2.7,7.0,33.8%,58.7%,54.5%
03-04,洛杉矶湖人,13.9,65.4%,3.1,4.7,22.6%,50.0%,1.3,2.6,12.6%,35.5%,1.2,3.5,16.5%,33.6%,1.9,5.7,27.2%,50.6%,43.9%
02-03,洛杉矶湖人,13.6,59.2%,3.5,5.9,22.4%,35.0%,1.2,3.3,12.6%,44.6%,2.1,4.7,17.7%,35.2%,2.6,7.3,27.8%,53.1%,47.2%
01-02,洛杉矶湖人,11.8,54.8%,3.3,6.1,26.7%,43.4%,1.7,4.0,17.6%,41.3%,1.7,4.2,18.6%,35.3%,1.9,5.4,23.7%,51.1%,45.9%
00-01,洛杉矶湖人,11.3,62.4%,3.6,5.8,26.0%,47.0%,1.9,4.1,18.4%,44.8%,1.9,4.2,18.7%,38.8%,2.4,6.1,27.4%,55.5%,48.5%
99-00,洛杉矶湖人,,,,,,,,,,,,,,,,,,51.7%,47.0%
98-99,洛杉矶湖人,,,,,,,,,,,,,,,,,,50.2%,45.8%
97-98,洛杉矶湖人,,,,,,,,,,,,,,,,,,50.1%,42.8%
96-97,洛杉矶湖人,,,,,,,,,,,,,,,,,,54.3%,43.6%
