赛季,球队,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,比赛一览
15-16,洛杉矶湖人,42,68.8%,22,50,75.0%,7,21,100.0%,11,12,12,3,10,9,3,2,6,5,60,单季一览
14-15,洛杉矶湖人,44,55.6%,15,37,66.7%,5,12,100.0%,11,16,11,3,10,17,5,2,10,5,44,单季一览
13-14,洛杉矶湖人,33,54.5%,9,18,100.0%,2,5,100.0%,8,8,8,1,7,13,2,1,8,3,21,单季一览
12-13,洛杉矶湖人,48,78.6%,16,41,80.0%,5,12,100.0%,18,20,12,4,11,14,5,4,10,5,47,单季一览
11-12,洛杉矶湖人,52,68.4%,18,31,100.0%,5,11,100.0%,12,14,14,4,11,9,4,2,10,4,48,单季一览
10-11,洛杉矶湖人,48,70.6%,16,33,100.0%,4,10,100.0%,14,17,12,4,11,14,4,1,8,5,42,单季一览
09-10,洛杉矶湖人,51,70.0%,19,37,100.0%,5,9,100.0%,16,18,16,4,13,13,5,2,9,5,44,单季一览
08-09,洛杉矶湖人,45,77.8%,19,38,100.0%,6,9,100.0%,20,20,13,5,11,13,5,2,6,6,61,单季一览
07-08,洛杉矶湖人,52,71.4%,21,44,80.0%,9,17,100.0%,20,27,14,6,12,13,5,3,11,6,53,单季一览
06-07,洛杉矶湖人,54,73.1%,23,45,100.0%,8,14,100.0%,21,24,13,4,10,13,5,3,9,6,65,单季一览
05-06,洛杉矶湖人,50,66.7%,28,46,100.0%,7,15,100.0%,23,26,10,4,10,11,7,2,7,6,81,单季一览
04-05,洛杉矶湖人,50,68.2%,16,33,75.0%,9,15,100.0%,17,22,14,5,12,14,5,3,9,6,48,单季一览
03-04,洛杉矶湖人,53,68.8%,16,31,100.0%,4,10,100.0%,17,21,14,5,11,13,6,2,6,5,45,单季一览
02-03,洛杉矶湖人,54,68.8%,19,47,100.0%,12,18,100.0%,18,21,15,6,10,14,6,3,8,5,55,单季一览
01-02,洛杉矶湖人,51,83.3%,21,34,100.0%,3,7,100.0%,18,20,13,4,11,15,5,3,8,6,56,单季一览
00-01,洛杉矶湖人,52,76.9%,20,35,100.0%,3,10,100.0%,23,26,12,5,11,11,6,5,8,6,51,单季一览
99-00,洛杉矶湖人,45,75.0%,15,30,100.0%,5,7,100.0%,13,14,14,8,13,12,5,5,6,6,40,单季一览
98-99,洛杉矶湖人,46,80.0%,15,24,100.0%,4,6,100.0%,10,13,13,4,12,10,6,4,8,6,38,单季一览
97-98,洛杉矶湖人,41,70.0%,12,21,100.0%,3,7,100.0%,13,14,7,3,6,7,4,3,7,6,33,单季一览
96-97,洛杉矶湖人,43,100.0%,9,16,100.0%,4,7,100.0%,9,10,8,4,4,5,3,2,5,5,24,单季一览
