赛季,球队,出手距离,篮下命中率,命中,出手,占比,近距两分,命中,出手,占比,中距两分,命中,出手,占比,远距两分,命中,出手,占比,真实命中率,投篮效率
15-16,洛杉矶湖人,17.3,64.4%,1.0,1.6,9.3%,39.8%,0.7,1.7,10.2%,41.1%,1.2,2.9,17.3%,31.2%,1.1,3.6,21.3%,46.9%,41.7%
14-15,洛杉矶湖人,15.7,56.7%,1.6,2.8,13.6%,38.0%,1.0,2.6,12.9%,31.1%,1.2,3.8,18.5%,38.9%,2.3,5.9,29.2%,47.7%,41.1%
13-14,洛杉矶湖人,14.7,75.0%,1.5,2.0,16.4%,55.6%,0.8,1.5,12.3%,50.0%,1.5,3.0,24.7%,27.8%,0.8,3.0,24.7%,50.5%,44.5%
12-13,洛杉矶湖人,14.4,69.3%,3.0,4.3,21.1%,46.2%,1.4,3.0,14.7%,47.1%,1.4,3.1,15.0%,40.2%,1.9,4.8,23.7%,57.0%,50.4%
11-12,洛杉矶湖人,15.0,68.8%,2.1,3.0,13.2%,43.4%,1.6,3.8,16.4%,40.3%,1.8,4.5,19.7%,42.2%,2.8,6.7,29.3%,52.7%,46.2%
10-11,洛杉矶湖人,14.5,63.9%,1.9,3.0,15.2%,49.0%,1.9,3.8,19.0%,51.9%,2.0,3.8,19.2%,36.8%,1.8,5.0,24.9%,54.8%,48.7%
09-10,洛杉矶湖人,13.5,58.1%,2.6,4.6,21.2%,44.9%,1.3,2.8,13.2%,48.3%,2.3,4.7,22.1%,42.9%,2.2,5.2,24.3%,54.5%,48.8%
08-09,洛杉矶湖人,14.0,66.4%,2.8,4.2,20.3%,46.1%,1.2,2.5,12.0%,44.8%,1.7,3.8,18.1%,42.4%,2.6,6.2,29.9%,56.1%,50.2%
07-08,洛杉矶湖人,14.4,63.7%,3.2,5.1,24.6%,54.4%,1.0,1.8,8.7%,43.6%,1.2,2.7,12.9%,37.4%,2.3,6.0,29.2%,57.6%,50.3%
06-07,洛杉矶湖人,14.5,61.9%,3.1,5.1,22.3%,46.8%,1.0,2.1,9.0%,48.8%,1.6,3.2,14.0%,42.6%,3.1,7.3,32.1%,58.0%,50.2%
05-06,洛杉矶湖人,15.1,59.8%,3.2,5.4,20.0%,49.4%,1.1,2.3,8.3%,45.5%,1.8,4.0,14.8%,42.1%,3.8,9.0,33.1%,55.9%,49.1%
04-05,洛杉矶湖人,13.9,60.6%,3.3,5.5,27.2%,42.7%,1.0,2.3,11.3%,36.0%,0.9,2.5,12.4%,38.4%,1.5,4.0,19.9%,56.3%,48.2%
03-04,洛杉矶湖人,11.9,60.9%,3.5,5.8,31.9%,34.1%,0.9,2.7,14.7%,39.0%,0.9,2.4,13.1%,37.6%,1.5,4.0,21.9%,55.1%,46.8%
02-03,洛杉矶湖人,13.9,64.2%,3.2,5.0,21.5%,42.6%,1.1,2.5,10.6%,36.2%,1.6,4.4,18.8%,42.0%,3.2,7.5,32.1%,55.0%,48.3%
01-02,洛杉矶湖人,12.0,65.8%,3.3,5.0,24.9%,46.0%,1.3,2.8,14.2%,45.0%,1.9,4.2,21.2%,39.4%,2.5,6.3,31.5%,54.4%,47.9%
00-01,洛杉矶湖人,12.8,65.3%,3.5,5.3,24.0%,40.9%,1.2,3.0,13.4%,46.2%,1.9,4.2,18.9%,41.0%,2.8,6.7,30.3%,55.2%,48.4%
99-00,洛杉矶湖人,,,,,,,,,,,,,,,,,,54.6%,48.8%
98-99,洛杉矶湖人,,,,,,,,,,,,,,,,,,54.9%,48.2%
97-98,洛杉矶湖人,,,,,,,,,,,,,,,,,,54.8%,46.9%
96-97,洛杉矶湖人,,,,,,,,,,,,,,,,,,54.4%,47.7%
